t_s,alt_ft_rel,vel,acc
101.594,-0.66,0.0,9.79
102.099,-0.47,0.0,10.06
102.604,-0.58,0.0,9.83
103.109,-0.63,0.0,9.93
103.614,-0.65,0.0,9.8
104.119,-0.61,0.0,9.84
104.624,-0.55,0.0,9.74
105.129,-0.73,0.0,9.9
105.643,-0.65,0.0,9.74
106.143,-0.58,0.0,9.76
106.644,-0.55,0.0,9.88
107.149,-0.56,0.0,9.79
107.654,-0.54,0.0,9.91
108.159,-0.52,0.0,9.73
108.664,-0.56,0.0,9.71
109.169,-0.55,0.0,9.76
109.674,-0.57,0.0,9.84
110.179,-0.6,0.0,9.69
110.684,-0.59,0.0,9.91
111.189,-0.59,0.0,9.8
111.694,-0.56,0.0,9.82
112.199,-0.53,0.0,9.73
112.704,-0.56,0.0,9.69
113.209,-0.53,0.0,9.83
113.714,-0.56,0.0,9.9
114.219,-0.55,0.0,9.82
114.724,-0.58,0.0,9.79
115.224,-0.61,0.0,9.82
115.734,-0.53,0.0,9.8
116.239,-0.63,0.0,9.76
