t_s,alt_ft_rel,vel,acc
23.302,-0.32,inf,9.9
23.806,-0.73,inf,9.84
24.311,-1.0,inf,9.95
24.816,-0.73,inf,9.89
25.322,-0.73,inf,9.88
25.826,-0.86,inf,9.91
26.331,-0.88,inf,9.82
26.836,-0.76,inf,9.92
27.341,-0.93,inf,9.78
27.846,-0.46,inf,9.81
28.351,-0.69,inf,9.88
28.856,-0.33,inf,9.86
29.361,-0.88,inf,9.82
29.866,-0.83,inf,9.93
30.371,-0.76,inf,9.94
30.876,-0.96,inf,9.97
31.382,-1.03,inf,9.87
31.886,-0.72,inf,9.93
32.391,-0.96,inf,10.04
32.896,-0.72,inf,9.92
33.402,-1.06,inf,9.87
33.906,-0.84,inf,9.8
34.411,-0.99,inf,9.89
34.916,-0.72,inf,9.84
35.421,-0.54,inf,9.88
35.926,-0.87,inf,10.2
36.431,-0.9,inf,9.99
36.936,-0.92,inf,9.86
37.441,-0.92,inf,9.95
37.946,-0.8,inf,9.81
38.451,-0.92,inf,9.81
38.956,-0.86,inf,9.95
39.462,-0.6,inf,9.99
39.966,-0.65,inf,9.94
40.471,-0.79,inf,9.88
40.976,-0.47,inf,9.94
41.482,-0.45,inf,9.83
41.987,-0.57,inf,9.92
42.491,-0.49,inf,9.97
42.996,-0.72,inf,9.87
43.502,-0.64,inf,9.95
44.007,-0.88,inf,9.86
44.511,-0.86,inf,9.87
45.017,-0.73,inf,9.83
45.522,-0.65,inf,9.96
46.027,-0.8,inf,9.89
46.531,-0.91,inf,9.84
47.037,-0.84,inf,9.78
47.542,-0.88,inf,9.9
48.047,-0.75,inf,9.87
48.551,-0.7,inf,9.95
49.056,-0.61,inf,9.92
49.562,-0.57,inf,9.87
50.067,-0.63,inf,9.93
50.571,-0.56,inf,9.81
51.077,-0.63,inf,10.0
51.582,-0.78,inf,9.9
52.086,-0.64,inf,9.86
52.592,-0.65,inf,9.88
53.097,-0.69,inf,9.98
53.602,-0.65,inf,9.81
54.107,-0.61,inf,10.04
54.612,-0.59,inf,9.85
55.117,-0.55,inf,10.03
55.622,-0.52,inf,9.89
56.128,-0.48,inf,9.89
56.631,-0.51,inf,9.91
57.137,-0.6,inf,9.83
57.637,-0.64,inf,9.88
58.137,-0.72,inf,9.93
58.64,-0.7,inf,9.86
59.145,-0.69,inf,9.92
59.661,-0.63,inf,9.9
60.167,-0.62,inf,9.78
60.671,-0.66,inf,9.82
61.176,-0.64,inf,9.81
61.681,-0.57,inf,9.9
62.187,-0.66,inf,9.88
62.692,-0.65,inf,9.81
63.196,-0.6,inf,9.98
63.702,-0.44,inf,9.8
64.208,-0.38,inf,9.86
64.712,-0.48,inf,9.78
65.216,-0.46,inf,10.02
65.721,-0.57,inf,9.92
66.227,-0.54,inf,9.94
66.732,-0.63,inf,9.95
67.237,-0.61,inf,9.87
67.753,-0.49,inf,9.96
68.253,-0.49,inf,9.97
68.753,-0.55,inf,9.87
69.256,-0.36,inf,9.8
69.761,-0.51,inf,9.87
70.266,-0.67,inf,9.85
70.772,-0.79,inf,9.87
71.277,-0.69,inf,9.86
71.781,-0.61,inf,9.97
72.287,-0.56,inf,9.85
72.791,-0.69,inf,9.87
73.297,-0.65,inf,9.83
73.801,-0.58,inf,9.81
74.307,-0.59,inf,9.93
74.811,-0.6,inf,10.02
75.316,-0.61,inf,9.93
75.821,-0.59,inf,9.88
76.327,-0.66,inf,9.86
76.831,-0.72,inf,9.88
77.336,-0.69,inf,9.85
77.841,-0.78,inf,9.87
78.347,-0.78,inf,9.96
78.852,-0.76,inf,9.87
79.356,-0.71,inf,9.98
79.861,-0.72,inf,9.94
80.367,-0.48,inf,9.99
80.871,-0.66,inf,9.85
81.376,-0.65,inf,9.8
81.881,-0.73,inf,10.04
82.387,-0.6,inf,9.9
82.891,-0.67,inf,9.85
83.396,-0.68,inf,9.88
83.902,-0.66,inf,9.89
84.408,-0.64,inf,9.89
84.911,-0.63,inf,9.96
85.416,-0.67,inf,9.98
85.921,-0.6,inf,9.88
86.427,-0.66,inf,9.82
86.932,-0.59,inf,9.92
87.437,-0.67,inf,9.87
87.942,-0.53,inf,9.91
88.447,-0.49,inf,9.79
88.952,-0.56,inf,9.89
89.456,-0.57,inf,9.88
89.961,-0.56,inf,9.84
90.461,-0.54,inf,9.87
90.971,-0.48,inf,9.83
91.477,-0.52,inf,9.87
91.977,-0.37,inf,9.85
92.486,-0.32,inf,9.98
92.992,-0.16,inf,9.95
93.496,-0.21,inf,9.98
94.001,-0.35,inf,9.97
94.507,-0.48,inf,9.84
95.011,-0.45,inf,9.91
95.516,-0.41,inf,9.98
96.021,-0.36,inf,9.88
96.521,-0.34,inf,9.9
97.032,-0.49,inf,9.96
97.537,-0.57,inf,9.81
98.041,-0.56,inf,9.84
98.547,-0.37,inf,10.01
99.052,-0.54,inf,10.08
99.557,-0.57,inf,9.85
100.061,-0.55,inf,9.92
100.566,-0.45,inf,9.92
101.071,-0.17,inf,9.9
101.571,-0.47,inf,9.85
102.081,-0.54,inf,9.91
102.587,-0.37,inf,9.96
103.091,-0.52,inf,9.87
103.596,-0.61,inf,9.87
104.101,-0.64,inf,9.88
104.607,-0.6,inf,9.96
105.111,-0.59,inf,9.86
105.617,-0.5,inf,10.01
106.121,-0.58,inf,9.94
106.627,-0.69,inf,9.85
107.127,-0.66,inf,9.88
107.637,-0.46,inf,9.89
108.141,-0.55,inf,9.89
108.647,-0.58,inf,9.95
109.151,-0.51,inf,9.99
109.656,-0.62,inf,9.91
110.161,-0.73,inf,9.92
110.666,-0.72,inf,9.9
111.166,-0.72,inf,9.95
111.676,-0.67,inf,9.91
112.181,-0.64,inf,9.89
112.681,-0.53,inf,9.96
113.191,-0.48,inf,9.92
113.691,-0.6,inf,9.84
114.201,-0.53,inf,9.93
114.701,-0.48,inf,9.87
115.211,-0.47,inf,9.88
115.716,-0.47,inf,10.0
116.221,-0.45,inf,9.89
116.727,-0.42,inf,9.86
117.227,-0.38,inf,9.87
117.736,-0.38,inf,9.94
118.242,-0.42,inf,9.87
118.747,-0.34,inf,9.87
119.251,-0.4,inf,9.97
119.756,-0.37,inf,9.94
120.261,-0.52,inf,9.92
120.767,-0.45,inf,9.92
121.271,-0.23,inf,9.88
121.776,-0.24,inf,9.93
122.281,-0.26,inf,9.87
122.787,-0.37,inf,9.89
123.287,-0.33,inf,9.84
123.796,-0.41,inf,9.97
124.301,-0.26,inf,9.77
124.807,-0.34,inf,9.92
125.311,-0.35,inf,9.87
125.816,-0.28,inf,9.99
126.321,-0.09,inf,9.86
126.826,-0.18,inf,9.8
127.332,-0.16,inf,9.76
127.836,-0.07,inf,9.85
128.342,-0.07,inf,9.85
128.846,-0.07,inf,9.88
129.346,0.06,inf,9.84
129.856,-0.1,inf,9.84
130.361,-0.15,inf,9.81
130.866,-0.29,inf,9.86
131.371,-0.19,inf,9.88
131.876,-0.29,inf,9.9
132.381,-0.27,inf,9.82
132.887,-0.33,inf,9.91
133.391,-0.15,inf,9.93
133.896,-0.1,inf,9.86
134.402,-0.13,inf,9.97
134.906,-0.35,inf,9.79
135.411,-0.36,inf,9.91
135.916,-0.14,inf,9.97
136.421,-0.23,inf,9.95
136.927,-0.23,inf,9.83
137.431,-0.35,inf,9.84
137.936,-0.27,inf,9.86
138.441,-0.45,inf,9.82
138.941,-0.4,inf,9.96
139.451,-0.38,inf,9.88
139.956,-0.48,inf,9.85
140.456,-0.35,inf,9.97
140.966,-0.53,inf,9.9
141.466,-0.48,inf,9.44
141.976,-0.44,inf,9.89
142.482,-0.45,inf,10.32
142.987,-0.45,inf,9.91
143.492,-0.37,inf,9.81
143.996,-0.32,inf,9.91
144.502,-0.38,inf,9.92
145.007,-0.24,inf,9.95
145.512,-0.26,inf,9.89
146.016,-0.29,inf,9.99
146.521,-0.32,inf,9.84
147.027,-0.28,inf,9.94
147.531,-0.31,inf,9.9
148.036,-0.23,inf,9.9
148.542,-0.24,inf,9.9
149.046,-0.23,inf,9.9
149.552,-0.19,inf,9.91
150.056,-0.26,inf,9.85
150.562,-0.21,inf,9.86
151.067,-0.27,inf,9.91
151.571,-0.35,inf,9.87
152.076,-0.25,inf,9.9
152.582,-0.27,inf,9.92
153.086,-0.32,inf,9.95
153.591,-0.24,inf,9.83
154.096,-0.17,inf,9.91
154.602,-0.08,inf,9.87
155.102,-0.02,inf,9.95
155.612,-0.13,inf,9.85
156.116,-0.11,inf,9.92
156.622,-0.14,inf,9.91
157.127,-0.13,inf,9.94
157.631,-0.12,inf,9.94
158.136,-0.06,inf,9.97
158.642,-0.17,inf,9.91
159.147,-0.21,inf,9.8
159.651,-0.07,inf,9.93
160.156,-0.14,inf,9.87
160.662,-0.14,inf,9.91
161.166,-0.07,inf,9.9
161.671,-0.17,inf,9.95
162.176,-0.16,inf,10.01
162.681,-0.24,inf,9.88
163.186,-0.25,inf,9.89
163.692,-0.22,inf,9.82
164.196,-0.18,inf,9.94
164.702,-0.16,inf,9.86
165.207,-0.19,inf,9.82
165.712,-0.14,inf,9.9
166.216,-0.14,inf,9.83
166.721,-0.03,inf,9.82
167.227,-0.1,inf,9.89
167.731,-0.13,inf,9.97
168.236,-0.14,inf,9.96
168.742,-0.2,inf,9.9
169.242,-0.18,inf,9.87
169.751,-0.26,inf,9.86
170.256,-0.14,inf,9.97
170.762,-0.07,inf,9.83
171.267,-0.24,inf,9.9
171.771,-0.18,inf,9.92
172.276,-0.16,inf,9.85
172.782,-0.05,inf,9.92
173.287,-0.12,inf,9.99
173.791,-0.05,inf,9.86
174.296,-0.09,inf,9.92
174.801,-0.02,inf,9.89
175.307,-0.03,inf,9.76
175.811,0.02,inf,9.79
176.316,-0.0,inf,9.88
176.821,-0.08,inf,9.94
177.327,-0.0,inf,9.8
177.831,0.01,inf,9.86
178.336,-0.02,inf,9.92
178.842,0.06,inf,9.89
179.347,-0.07,inf,9.85
179.852,-0.1,inf,9.9
180.357,0.03,inf,9.98
180.862,-0.04,inf,9.87
181.367,-0.01,inf,9.79
181.871,0.04,inf,9.88
182.377,0.05,inf,9.83
182.881,-0.04,inf,9.89
183.386,0.01,inf,9.77
183.891,-0.07,inf,9.83
184.396,0.03,inf,9.76
184.901,-0.08,inf,9.95
185.401,-0.1,inf,9.78
185.911,-0.03,inf,9.93
186.416,-0.15,inf,9.93
186.922,-0.16,inf,9.89
187.427,-0.07,inf,9.86
187.931,0.03,inf,9.77
188.436,0.05,inf,9.87
188.941,-0.08,inf,9.86
189.447,0.07,inf,9.97
189.952,0.01,inf,9.79
190.457,0.07,inf,9.86
190.961,0.03,inf,9.88
191.467,-0.0,inf,9.86
191.972,0.04,inf,9.93
192.476,-0.01,inf,9.95
192.981,0.03,inf,9.98
193.486,0.09,inf,10.06
193.992,-0.04,inf,9.82
194.496,0.02,inf,9.82
195.001,0.04,inf,9.88
195.507,0.08,inf,9.86
196.011,0.15,inf,9.89
196.517,0.1,inf,9.88
197.021,0.1,inf,9.88
197.527,0.11,inf,9.87
198.032,0.13,inf,9.81
198.536,0.08,inf,9.9
199.041,0.18,inf,10.0
199.546,0.1,inf,9.89
200.051,0.07,inf,9.96
200.556,0.13,inf,9.89
201.061,0.11,inf,9.96
201.566,0.18,inf,9.97
202.072,0.12,inf,9.85
202.577,0.16,inf,9.81
203.081,0.21,inf,9.99
203.587,0.13,inf,9.91
204.092,0.19,inf,10.02
204.596,0.14,inf,9.97
205.101,0.25,inf,9.88
205.606,0.26,inf,9.89
206.112,0.33,inf,9.92
206.616,0.29,inf,9.86
207.121,0.29,inf,9.93
207.626,0.25,inf,9.94
208.132,0.23,inf,9.88
208.637,0.34,inf,9.85
209.141,0.33,inf,9.97
209.646,0.34,inf,9.87
210.152,0.21,inf,9.87
210.657,0.42,inf,9.89
211.161,0.4,inf,9.79
211.667,0.37,inf,9.92
212.172,0.31,inf,9.83
212.676,0.44,inf,9.88
213.182,0.35,inf,9.93
213.686,0.38,inf,9.92
214.192,0.24,inf,9.92
214.692,0.32,inf,9.85
215.201,0.25,inf,9.91
215.706,0.26,inf,9.98
216.212,0.32,inf,9.89
216.716,0.29,inf,9.84
217.221,0.34,inf,9.92
217.726,0.45,inf,9.97
218.232,0.45,inf,9.91
218.737,0.36,inf,9.85
219.241,0.44,inf,9.89
219.746,0.38,inf,9.94
220.252,0.43,inf,9.92
220.757,0.41,inf,9.98
221.273,0.47,inf,9.96
221.773,0.45,inf,9.81
222.273,0.5,inf,9.91
222.777,0.51,inf,9.95
223.281,0.42,inf,9.92
223.786,0.43,inf,9.91
224.292,0.42,inf,9.98
224.796,0.46,inf,9.99
225.301,0.42,inf,9.81
225.806,0.5,inf,9.97
226.311,0.47,inf,9.87
226.817,0.56,inf,9.92
227.321,0.56,inf,9.87
227.826,0.65,inf,9.82
228.331,0.72,inf,9.93
228.837,0.76,inf,9.83
229.342,0.8,inf,9.94
229.846,0.69,inf,9.95
230.351,0.75,inf,9.94
230.857,0.69,inf,9.96
231.373,0.8,inf,9.83
231.873,0.7,inf,9.81
232.373,0.82,inf,9.91
232.877,0.83,inf,9.92
233.381,0.69,inf,9.88
233.886,0.67,inf,9.99
234.391,0.73,inf,9.83
234.897,0.68,inf,9.91
235.401,0.55,inf,9.9
235.906,0.52,inf,9.88
236.412,0.6,inf,9.84
236.917,0.5,inf,9.85
237.421,0.51,inf,9.92
