t_s,alt_ft_rel,vel,acc
237.927,0.46,inf,9.94
238.431,0.46,inf,9.85
238.937,0.48,inf,9.88
239.442,0.5,inf,9.86
239.946,0.47,inf,9.87
240.451,0.57,inf,9.88
240.957,0.46,inf,9.82
241.461,0.44,inf,9.93
241.966,0.52,inf,10.01
242.471,0.5,inf,9.92
242.976,0.51,inf,9.92
243.481,0.46,inf,9.97
243.986,0.5,inf,9.9
244.491,0.5,inf,9.92
244.997,0.53,inf,9.89
245.501,0.57,inf,9.94
246.007,0.67,inf,9.88
246.511,0.66,inf,10.01
247.016,0.69,inf,9.85
247.521,0.65,inf,9.86
248.026,0.66,inf,9.83
248.531,0.73,inf,9.84
249.037,0.65,inf,9.93
249.541,0.73,inf,9.93
250.046,0.82,inf,9.79
250.551,0.68,inf,9.85
251.056,0.67,inf,9.93
251.562,0.66,inf,9.89
252.067,0.63,inf,9.9
252.571,0.6,inf,9.92
253.077,0.62,inf,9.91
253.582,0.66,inf,9.89
254.087,0.6,inf,9.98
254.591,0.67,inf,9.86
255.096,0.59,inf,9.86
255.602,0.71,inf,9.89
256.106,0.76,inf,9.81
256.611,0.74,inf,9.94
257.117,0.56,inf,9.95
257.622,0.47,inf,9.8
258.126,0.4,inf,9.89
258.631,0.45,inf,9.86
259.137,0.51,inf,9.92
259.642,0.51,inf,9.97
260.147,0.4,inf,9.93
260.651,0.54,inf,9.92
261.157,0.5,inf,9.95
261.661,0.49,inf,9.88
262.167,0.47,inf,9.89
262.671,0.45,inf,9.87
263.177,0.44,inf,9.97
263.682,0.49,inf,9.78
264.186,0.44,inf,9.91
264.691,0.44,inf,9.92
265.197,0.45,inf,9.98
265.702,0.52,inf,9.76
266.206,0.42,inf,9.89
266.711,0.51,inf,9.92
267.217,0.54,inf,9.89
267.721,0.59,inf,9.79
268.227,0.66,inf,9.81
268.731,0.63,inf,9.87
269.237,0.68,inf,9.86
269.742,0.67,inf,9.86
270.246,0.66,inf,9.91
270.751,0.7,inf,9.87
271.257,0.71,inf,9.91
271.772,0.56,inf,9.93
272.272,0.57,inf,9.96
272.772,0.57,inf,9.87
273.277,0.57,inf,9.97
273.782,0.66,inf,9.94
274.287,0.55,inf,9.84
274.791,0.54,inf,9.95
275.297,0.58,inf,9.96
275.802,0.62,inf,9.87
276.307,0.66,inf,9.81
276.811,0.84,inf,10.0
277.316,0.67,inf,9.95
277.821,0.64,inf,9.83
278.326,0.63,inf,9.84
278.831,0.59,inf,9.92
279.337,0.62,inf,9.91
279.842,0.66,inf,9.9
280.346,0.55,inf,9.87
280.851,0.62,inf,9.95
281.357,0.67,inf,9.96
281.872,0.63,inf,9.89
282.372,0.61,inf,9.97
282.872,0.62,inf,9.98
283.377,0.61,inf,9.81
283.882,0.69,inf,9.9
284.387,0.65,inf,9.95
284.891,0.71,inf,9.89
285.397,0.67,inf,9.96
285.902,0.74,inf,9.95
286.406,0.65,inf,9.99
286.911,0.66,inf,9.82
287.417,0.63,inf,10.03
287.921,0.61,inf,9.88
288.426,0.66,inf,9.87
288.932,0.65,inf,9.87
289.437,0.62,inf,9.92
289.942,0.65,inf,9.84
290.447,0.7,inf,9.97
290.951,0.67,inf,9.96
291.457,0.7,inf,9.89
291.961,0.7,inf,9.89
292.466,0.67,inf,9.88
292.971,0.68,inf,9.82
293.477,0.71,inf,9.86
293.981,0.67,inf,9.89
294.486,0.73,inf,9.85
294.992,0.73,inf,9.84
295.497,0.75,inf,9.98
296.002,0.8,inf,9.98
296.505,0.7,inf,9.97
297.012,0.82,inf,9.88
297.516,0.79,inf,9.94
298.021,0.77,inf,9.81
298.526,0.78,inf,9.83
299.032,0.79,inf,9.84
299.537,0.82,inf,9.92
300.041,0.79,inf,9.8
300.547,0.76,inf,9.86
301.052,0.77,inf,9.91
301.567,0.73,inf,9.81
302.067,0.74,inf,9.95
302.567,0.82,inf,9.95
303.067,0.82,inf,9.89
303.576,0.87,inf,9.88
304.081,0.9,inf,9.9
304.586,0.84,inf,9.97
305.092,0.94,inf,9.86
305.592,0.81,inf,9.9
306.101,0.85,inf,9.89
306.606,0.82,inf,9.87
307.112,0.92,inf,9.93
307.612,0.88,inf,9.86
308.121,0.94,inf,9.9
308.626,0.82,inf,9.87
309.132,0.86,inf,9.88
309.637,0.84,inf,9.92
310.141,0.81,inf,9.8
310.647,0.82,inf,9.99
311.152,0.87,inf,9.81
311.656,0.81,inf,9.93
312.161,0.87,inf,9.9
312.666,0.93,inf,9.85
313.171,0.91,inf,9.87
313.676,0.84,inf,9.92
314.181,0.89,inf,9.81
314.687,0.83,inf,9.89
315.192,0.87,inf,9.91
315.697,0.84,inf,9.94
316.201,0.89,inf,10.01
316.707,0.88,inf,9.85
317.212,0.85,inf,9.92
317.717,0.98,inf,9.92
318.221,0.94,inf,9.79
318.726,0.84,inf,9.94
319.232,0.85,inf,9.93
319.736,0.8,inf,9.93
320.241,0.8,inf,9.83
320.748,0.87,inf,9.95
321.248,0.88,inf,9.95
321.756,0.81,inf,9.98
322.261,0.89,inf,9.86
322.767,0.79,inf,9.98
323.272,0.83,inf,9.91
323.776,0.75,inf,10.02
324.281,0.83,inf,9.85
324.787,0.8,inf,9.93
325.292,0.85,inf,9.91
325.796,0.84,inf,9.91
326.301,0.8,inf,9.88
326.807,0.87,inf,9.87
327.311,0.89,inf,9.92
327.816,0.85,inf,9.9
328.321,0.86,inf,9.92
328.827,0.88,inf,9.86
329.331,0.83,inf,9.86
329.836,0.94,inf,9.89
330.342,0.91,inf,9.89
330.847,0.94,inf,9.96
331.352,0.92,inf,9.83
331.856,0.85,inf,9.82
332.356,0.87,inf,9.9
332.867,0.79,inf,9.97
333.371,0.94,inf,9.82
333.876,0.86,inf,9.92
334.382,0.98,inf,9.92
334.882,0.96,inf,9.9
335.391,0.89,inf,9.94
335.891,1.0,inf,9.93
336.402,1.0,inf,9.87
336.907,0.95,inf,9.87
337.412,0.88,inf,9.85
337.912,0.91,inf,9.92
338.422,0.91,inf,9.83
338.926,0.93,inf,9.91
339.431,0.86,inf,9.89
339.936,0.9,inf,9.92
340.442,0.87,inf,9.91
340.946,0.89,inf,9.88
341.451,0.88,inf,9.84
341.957,0.91,inf,9.95
342.462,0.8,inf,9.87
342.967,0.88,inf,9.92
343.471,0.91,inf,9.81
343.977,0.93,inf,9.94
344.482,0.82,inf,9.95
344.987,0.83,inf,9.86
345.491,0.81,inf,9.82
345.998,0.85,inf,9.93
346.502,0.96,inf,9.98
347.007,0.82,inf,9.88
347.511,0.88,inf,9.86
348.018,0.94,inf,9.81
348.522,0.84,inf,9.98
349.027,0.84,inf,9.9
349.532,0.87,inf,9.98
350.038,0.86,inf,9.84
350.542,0.89,inf,9.88
351.046,0.91,inf,9.86
351.551,0.85,inf,9.94
352.058,0.88,inf,9.9
352.562,0.88,inf,9.93
353.067,0.9,inf,9.9
353.572,0.83,inf,9.93
354.077,0.9,inf,9.92
354.582,0.88,inf,9.85
355.086,0.9,inf,9.77
355.592,0.88,inf,9.85
356.098,0.83,inf,9.96
356.602,0.86,inf,9.93
357.106,0.83,inf,9.9
357.612,0.93,inf,9.81
358.117,0.87,inf,9.78
358.622,0.86,inf,9.89
359.126,0.82,inf,9.88
359.633,0.89,inf,9.98
360.147,0.79,inf,9.92
360.647,0.78,inf,9.87
361.147,0.78,inf,9.94
361.653,0.86,inf,9.97
362.157,0.85,inf,9.91
362.662,0.83,inf,9.87
363.166,0.87,inf,9.91
363.673,0.74,inf,9.95
364.176,0.81,inf,9.78
364.681,0.82,inf,9.78
365.187,0.82,inf,9.94
365.692,0.71,inf,9.92
366.196,0.84,inf,9.98
366.701,0.79,inf,9.93
367.206,0.79,inf,9.91
367.711,0.79,inf,9.85
368.216,0.77,inf,9.91
368.721,0.82,inf,9.86
369.226,0.84,inf,9.88
369.732,0.89,inf,9.94
370.236,0.81,inf,9.87
370.741,0.77,inf,9.98
371.246,0.87,inf,9.85
371.752,0.8,inf,9.98
372.256,0.84,inf,9.92
372.761,0.8,inf,9.9
373.267,0.85,inf,9.95
373.772,0.83,inf,9.94
374.276,0.85,inf,9.88
374.776,0.81,inf,9.82
375.287,0.83,inf,9.97
375.792,0.81,inf,9.8
376.297,0.79,inf,9.95
376.801,0.73,inf,9.97
377.308,0.76,inf,9.92
377.811,0.78,inf,9.93
378.316,0.75,inf,9.91
378.822,0.82,inf,9.83
379.328,0.76,inf,9.87
379.832,0.77,inf,9.95
380.336,0.78,inf,9.89
380.842,0.74,inf,9.92
381.342,0.77,inf,9.9
381.852,0.8,inf,9.9
382.356,0.83,inf,9.78
382.862,0.81,inf,9.81
383.368,0.77,inf,9.99
383.872,0.77,inf,9.92
384.376,0.76,inf,9.81
384.882,0.69,inf,9.99
385.387,0.67,inf,9.85
385.891,0.74,inf,9.81
386.396,0.69,inf,9.92
386.902,0.77,inf,9.92
387.407,0.67,inf,9.89
387.911,0.74,inf,9.89
388.416,0.66,inf,9.95
388.916,0.73,inf,9.88
389.426,0.72,inf,9.93
389.931,0.76,inf,9.91
390.431,0.78,inf,9.7
390.941,0.68,inf,9.89
391.447,0.73,inf,9.93
391.952,0.78,inf,9.9
392.456,0.73,inf,10.03
392.962,0.72,inf,9.81
393.462,0.72,inf,9.91
393.972,0.74,inf,9.92
394.476,0.77,inf,9.91
394.981,0.77,inf,9.88
395.487,0.67,inf,9.91
395.991,0.69,inf,9.9
396.496,0.74,inf,9.9
397.002,0.72,inf,9.89
397.502,0.74,inf,9.94
398.011,0.74,inf,9.82
398.516,0.75,inf,9.93
399.022,0.67,inf,9.92
399.527,0.7,inf,9.83
400.031,0.77,inf,9.81
400.536,0.81,inf,9.87
401.042,0.79,inf,9.95
401.546,0.72,inf,9.83
402.051,0.78,inf,9.87
402.556,0.73,inf,10.05
403.061,0.76,inf,9.9
403.566,0.78,inf,9.95
404.071,0.78,inf,9.88
404.576,0.72,inf,9.87
405.082,0.75,inf,9.84
405.586,0.72,inf,9.92
406.091,0.71,inf,9.9
406.597,0.75,inf,9.92
407.102,0.71,inf,9.8
407.606,0.79,inf,9.88
408.111,0.79,inf,9.89
408.616,0.73,inf,9.86
409.122,0.73,inf,9.93
409.626,0.75,inf,10.0
410.131,0.77,inf,9.85
410.636,0.75,inf,9.86
411.141,0.75,inf,9.92
411.646,0.74,inf,9.82
412.151,0.75,inf,9.98
412.657,0.8,inf,9.95
413.162,0.72,inf,9.89
413.667,0.81,inf,9.91
414.171,0.76,inf,9.88
414.671,0.7,inf,9.85
415.182,0.78,inf,9.81
415.687,0.8,inf,9.92
416.191,0.73,inf,9.88
416.697,0.74,inf,9.89
417.202,0.7,inf,9.95
417.706,0.72,inf,9.83
418.212,0.68,inf,9.87
418.717,0.73,inf,9.95
419.221,0.73,inf,9.83
419.726,0.66,inf,9.94
420.231,0.67,inf,9.94
420.737,0.77,inf,9.98
421.241,0.71,inf,9.93
421.746,0.79,inf,9.85
422.251,0.78,inf,9.92
422.757,0.68,inf,9.96
423.261,0.76,inf,9.94
423.766,0.82,inf,9.78
424.266,0.76,inf,9.92
424.777,0.78,inf,9.83
425.281,0.65,inf,9.91
425.786,0.72,inf,10.01
426.291,0.69,inf,9.8
426.797,0.72,inf,9.9
427.301,0.74,inf,10.0
427.806,0.75,inf,9.88
428.312,0.72,inf,9.83
428.827,0.8,inf,9.94
429.327,0.74,inf,9.88
429.827,0.75,inf,9.89
430.331,0.72,inf,9.88
430.836,0.74,inf,9.86
431.341,0.73,inf,9.97
431.846,0.78,inf,9.91
432.351,0.79,inf,9.88
432.857,0.83,inf,9.82
433.362,0.88,inf,9.92
433.866,0.84,inf,9.94
434.371,0.82,inf,9.88
434.876,0.74,inf,9.9
435.381,0.87,inf,9.79
435.886,0.9,inf,9.97
436.391,0.73,inf,9.89
436.897,0.84,inf,9.87
437.401,0.77,inf,9.83
437.906,0.85,inf,9.89
438.411,0.75,inf,9.89
438.911,0.74,inf,9.83
439.421,0.72,inf,9.81
439.925,0.74,inf,9.88
440.431,0.75,inf,9.88
440.936,0.67,inf,9.81
441.442,0.67,inf,9.94
441.946,0.66,inf,10.0
442.451,0.68,inf,9.89
442.957,0.64,inf,9.82
443.461,0.65,inf,9.85
443.966,0.69,inf,9.91
444.471,0.66,inf,9.88
444.977,0.63,inf,9.86
445.481,0.67,inf,9.83
445.985,0.63,inf,9.92
446.491,0.55,inf,9.83
446.997,0.6,inf,9.89
447.501,0.6,inf,9.93
448.006,0.61,inf,9.9
448.512,0.64,inf,9.94
449.017,0.57,inf,9.91
449.521,0.62,inf,9.94
450.026,0.55,inf,10.02
450.531,0.64,inf,9.87
451.037,0.55,inf,9.85
451.541,0.7,inf,9.84
452.046,0.62,inf,9.88
452.551,0.62,inf,9.8
453.057,0.56,inf,9.84
453.561,0.51,inf,9.96
454.066,0.5,inf,9.92
454.571,0.54,inf,9.9
455.076,0.62,inf,9.96
455.581,0.56,inf,9.82
456.086,0.53,inf,9.92
456.591,0.54,inf,9.92
457.097,0.62,inf,10.05
457.601,0.6,inf,9.94
458.106,0.65,inf,9.85
458.612,0.68,inf,9.93
459.112,0.68,inf,9.9
459.621,0.73,inf,9.84
460.125,0.77,inf,9.95
460.631,0.67,inf,9.84
461.136,0.58,inf,9.91
461.641,0.69,inf,9.92
462.146,0.73,inf,9.91
462.651,0.72,inf,9.76
463.157,0.7,inf,9.92
463.662,0.61,inf,9.94
464.166,0.7,inf,9.85
464.672,0.77,inf,9.86
465.176,0.78,inf,9.9
465.682,0.72,inf,9.95
466.186,0.8,inf,9.9
466.691,0.81,inf,10.02
467.197,0.71,inf,9.89
467.701,0.74,inf,9.92
468.206,0.84,inf,9.86
468.711,0.8,inf,9.91
469.227,0.94,inf,9.92
469.727,1.0,inf,9.89
470.227,0.85,inf,9.91
470.732,0.79,inf,9.94
471.236,0.85,inf,9.87
471.741,0.93,inf,9.91
472.246,0.76,inf,9.98
472.752,0.51,inf,9.92
473.256,0.44,inf,9.88
473.762,0.32,inf,9.84
474.266,0.39,inf,9.91
474.771,0.38,inf,9.88
475.277,0.21,inf,9.86
475.781,0.2,inf,9.93
476.286,0.14,inf,9.9
476.791,0.2,inf,9.97
477.297,0.22,inf,9.91
477.801,0.32,inf,9.83
478.306,0.53,inf,9.87
478.812,0.39,inf,9.91
479.316,0.29,inf,9.94
479.822,0.64,inf,9.97
480.326,0.55,inf,9.94
480.832,0.63,inf,10.01
481.336,0.66,inf,10.0
481.841,0.55,inf,9.86
