t_s,alt_ft_rel,lat,lon,acc
233.498,1.13,39.0002349,-76.1050665,9.79
234.079,1.11,39.0002349,-76.1050664,9.76
234.579,1.03,39.0002349,-76.1050665,9.78
235.086,1.06,39.0002349,-76.1050664,9.79
235.593,1.08,39.000235,-76.1050664,9.79
236.182,1.05,39.000235,-76.1050664,9.72
236.684,1.05,39.000235,-76.1050662,9.78
237.271,1.13,39.000235,-76.1050663,9.77
237.778,1.15,39.000235,-76.1050663,9.8
238.284,1.04,39.000235,-76.1050663,9.76
238.792,1.13,39.0002348,-76.1050664,9.77
239.381,1.12,39.0002348,-76.1050663,9.85
239.881,1.11,39.0002348,-76.1050661,9.76
240.385,1.13,39.0002349,-76.105066,9.77
240.885,1.14,39.000235,-76.1050659,9.79
241.385,1.12,39.000235,-76.1050661,9.86
241.885,1.1,39.0002351,-76.1050659,9.81
242.499,1.16,39.0002352,-76.1050659,9.66
243.088,1.12,39.0002354,-76.1050658,9.86
243.588,1.1,39.0002356,-76.1050657,9.82
244.176,1.14,39.0002359,-76.1050656,9.87
244.676,1.2,39.000236,-76.1050655,9.73
245.179,1.06,39.0002362,-76.1050655,9.74
245.679,1.12,39.0002365,-76.1050655,9.84
246.184,1.1,39.0002366,-76.1050656,9.76
246.693,1.13,39.0002367,-76.1050657,9.84
247.28,1.13,39.0002368,-76.1050657,9.83
247.789,1.16,39.0002369,-76.1050657,9.84
248.378,1.14,39.000237,-76.1050657,9.84
248.891,1.12,39.0002371,-76.1050658,9.78
249.505,1.09,39.0002373,-76.1050658,9.77
250.086,1.09,39.0002375,-76.105066,9.79
250.591,1.2,39.0002377,-76.105066,9.79
251.177,1.06,39.0002379,-76.105066,9.78
251.68,1.09,39.0002381,-76.105066,9.84
252.18,1.01,39.0002381,-76.1050659,9.8
252.68,1.0,39.0002382,-76.1050657,9.8
253.188,1.06,39.0002383,-76.1050657,9.78
253.688,0.93,39.0002383,-76.1050656,9.83
254.276,0.92,39.0002385,-76.1050656,9.82
254.785,0.93,39.0002387,-76.1050655,9.79
255.375,0.96,39.0002389,-76.1050656,9.76
255.888,1.0,39.0002389,-76.1050656,9.79
256.503,1.0,39.0002392,-76.1050657,9.75
257.086,0.98,39.0002393,-76.1050658,9.78
257.587,0.9,39.0002394,-76.1050658,9.77
258.175,0.94,39.0002396,-76.1050659,9.78
258.676,0.97,39.0002396,-76.1050659,9.77
259.183,0.96,39.0002396,-76.105066,9.76
259.687,0.92,39.0002398,-76.1050661,9.78
260.275,0.9,39.0002399,-76.1050662,9.73
260.785,0.89,39.00024,-76.1050663,9.86
261.291,0.94,39.0002402,-76.1050663,9.79
261.791,0.95,39.0002402,-76.1050663,9.92
262.379,0.91,39.0002402,-76.1050664,9.76
262.891,0.93,39.0002403,-76.1050666,9.82
263.505,0.91,39.0002404,-76.1050666,9.79
264.088,0.89,39.0002403,-76.1050667,9.83
264.596,0.88,39.0002404,-76.1050668,9.86
265.184,0.9,39.0002404,-76.105067,9.76
265.691,0.91,39.0002405,-76.1050671,9.78
266.279,1.0,39.0002404,-76.1050672,9.85
266.788,0.97,39.0002403,-76.1050674,9.77
267.376,1.02,39.0002403,-76.1050674,9.76
267.89,0.91,39.0002403,-76.1050673,9.74
268.505,0.86,39.0002402,-76.1050673,9.77
269.09,0.98,39.0002401,-76.1050673,9.81
269.59,0.9,39.0002401,-76.1050673,9.83
270.178,0.94,39.0002401,-76.1050674,9.67
270.68,0.96,39.0002399,-76.1050674,9.86
271.186,0.84,39.0002399,-76.1050673,9.86
271.69,0.84,39.0002399,-76.1050674,9.79
272.278,0.81,39.0002399,-76.1050674,9.79
272.785,0.79,39.0002399,-76.1050675,9.73
273.373,0.64,39.0002399,-76.1050675,9.81
273.887,0.79,39.00024,-76.1050675,9.72
274.5,0.73,39.00024,-76.1050674,9.79
275.083,0.67,39.0002401,-76.1050674,9.85
275.586,0.56,39.0002402,-76.1050673,9.82
276.175,0.52,39.0002403,-76.1050673,9.73
276.683,0.58,39.0002404,-76.1050672,9.82
277.183,0.55,39.0002404,-76.1050672,9.82
277.689,0.58,39.0002404,-76.1050672,9.76
278.277,0.57,39.0002405,-76.1050673,9.8
278.782,0.62,39.0002406,-76.1050672,9.92
279.294,0.54,39.0002407,-76.1050673,9.83
279.794,0.59,39.0002406,-76.1050672,9.78
280.383,0.55,39.0002407,-76.1050672,9.81
280.896,0.45,39.0002408,-76.1050672,9.74
281.51,0.42,39.0002408,-76.1050672,9.77
282.066,0.41,39.0002409,-76.1050672,9.82
282.573,0.37,39.0002408,-76.1050672,9.7
283.086,0.3,39.0002409,-76.1050672,9.83
283.594,0.27,39.0002409,-76.1050671,9.74
284.183,0.22,39.000241,-76.1050671,9.78
284.69,0.31,39.000241,-76.1050671,9.79
285.278,0.26,39.000241,-76.105067,9.83
285.786,0.27,39.000241,-76.105067,9.85
286.375,0.25,39.0002411,-76.105067,9.8
286.887,0.25,39.0002412,-76.1050669,9.98
287.502,0.33,39.0002412,-76.105067,9.77
288.083,0.32,39.0002413,-76.105067,9.75
288.584,0.39,39.0002414,-76.1050671,9.86
289.173,0.37,39.0002415,-76.1050672,9.75
289.673,0.36,39.0002416,-76.1050673,9.81
290.186,0.38,39.0002419,-76.1050673,9.85
