t_s,alt_ft_rel,vel,acc
182.39,1.51,0.01,9.84
182.894,1.54,0.01,9.8
183.4,1.6,0.01,9.84
183.904,1.63,0.02,9.79
184.41,1.63,0.01,9.75
184.914,1.72,0.01,9.72
185.419,1.81,0.04,9.82
185.924,1.83,0.04,9.83
186.429,1.87,0.03,9.77
186.934,2.04,0.04,9.76
187.439,2.04,0.04,9.84
187.944,2.04,0.03,9.8
188.449,2.16,0.04,9.73
188.954,2.12,0.02,9.79
189.46,2.17,0.02,9.89
189.964,2.18,0.02,9.81
190.469,2.3,0.03,9.83
190.975,2.26,0.02,9.79
191.48,2.34,0.03,9.82
191.985,2.4,0.03,9.77
192.49,2.43,0.02,9.79
192.995,2.44,0.02,9.83
193.5,2.47,0.01,9.79
194.0,2.44,0.0,9.78
194.51,2.42,0.0,9.81
195.015,2.46,0.0,10.05
195.52,2.55,0.02,9.83
196.025,2.66,0.03,9.73
196.53,2.55,0.01,9.77
197.035,2.59,0.01,9.79
197.54,2.61,0.01,9.84
198.045,2.49,0.01,9.81
198.55,2.57,0.0,9.86
199.055,2.57,0.01,9.77
199.56,2.73,0.02,9.74
200.065,2.71,0.02,9.76
200.57,2.72,0.01,9.75
201.075,2.69,0.01,10.09
201.579,2.62,0.0,9.82
202.084,2.7,0.0,9.74
202.589,2.75,0.01,9.71
203.094,2.78,0.02,9.77
203.609,2.86,0.02,9.96
204.109,2.96,0.03,9.74
204.61,2.95,0.03,9.76
205.115,2.95,0.02,9.84
205.62,2.99,0.01,9.81
206.125,3.0,0.01,9.77
206.63,2.96,0.01,9.75
207.135,2.98,0.01,9.78
207.64,3.08,0.01,9.82
208.145,3.07,0.01,9.45
208.65,2.97,0.0,9.95
209.155,3.08,0.01,9.77
209.66,3.09,0.01,9.59
210.165,3.1,0.01,9.8
210.67,3.05,0.0,9.87
211.175,3.07,0.0,9.8
211.68,3.1,0.0,9.77
212.185,3.09,0.01,9.83
212.69,3.2,0.01,9.78
213.195,3.19,0.02,9.79
213.695,3.19,0.01,9.75
214.205,3.15,0.01,9.78
214.71,3.09,0.0,9.79
215.215,3.15,0.0,9.8
215.72,3.17,0.01,9.69
216.225,3.18,0.0,9.73
216.73,3.08,0.01,9.82
217.235,3.1,0.0,9.88
217.74,3.17,0.01,9.94
218.244,3.1,0.0,9.79
218.749,3.03,0.01,9.81
219.254,3.14,0.0,9.71
219.759,3.14,0.01,9.85
220.264,3.05,0.0,9.76
220.77,3.12,0.0,9.8
221.275,3.13,0.0,9.74
221.78,3.19,0.0,9.68
222.285,3.17,0.0,9.73
222.79,3.09,0.0,9.84
223.29,3.17,0.01,9.72
223.79,3.17,0.0,9.79
224.305,3.18,0.01,9.8
224.81,3.15,0.01,9.83
225.315,3.07,0.01,9.75
225.82,3.11,0.01,9.85
226.325,2.98,0.01,9.77
226.83,3.09,0.01,9.74
227.335,3.11,0.0,9.77
227.84,3.08,0.0,9.79
228.345,3.15,0.01,9.64
228.85,3.21,0.01,9.8
229.355,3.19,0.01,9.77
229.86,3.17,0.01,9.84
230.365,3.21,0.01,9.79
230.87,3.17,0.0,9.78
231.375,3.17,0.0,9.89
231.88,3.07,0.01,9.66
232.385,3.09,0.01,9.75
232.89,3.09,0.01,9.78
233.395,3.07,0.01,9.79
233.9,3.08,0.0,9.9
234.404,3.13,0.0,9.81
234.909,3.11,0.01,9.75
235.414,3.08,0.0,9.8
235.919,3.16,0.01,9.7
236.424,3.1,0.01,9.76
236.929,3.05,0.01,9.86
237.435,3.08,0.01,9.87
237.94,3.09,0.0,9.85
238.445,3.09,0.0,9.87
238.95,3.05,0.0,9.79
239.455,3.15,0.01,9.76
239.96,3.03,0.0,9.79
240.465,3.1,0.0,9.82
240.97,3.07,0.0,9.72
241.475,3.03,0.01,9.75
241.98,2.97,0.01,9.84
242.485,3.02,0.01,9.76
242.99,2.92,0.02,9.79
243.495,2.93,0.01,9.89
244.0,2.9,0.02,9.87
244.505,3.02,0.01,9.8
245.01,3.05,0.01,9.8
245.515,2.95,0.01,9.73
246.019,2.92,0.01,9.74
246.525,2.98,0.01,9.79
247.03,2.94,0.0,9.72
247.535,2.92,0.01,9.78
248.04,2.93,0.0,9.8
248.545,2.73,0.04,9.82
249.05,2.61,0.05,9.75
249.555,2.69,0.03,9.85
250.06,2.58,0.03,9.8
250.565,2.62,0.02,9.77
251.069,2.56,0.01,9.77
251.574,2.57,0.01,9.9
252.079,2.58,0.01,9.71
252.584,2.52,0.01,9.52
253.089,2.49,0.02,10.06
253.594,2.37,0.03,9.95
254.1,2.42,0.02,9.4
254.605,2.26,0.03,9.27
255.11,2.27,0.02,9.73
255.615,2.38,0.01,9.96
