t_s,alt_m_asl,lat_deg,lon_deg,acc_z_m_s2,vel_z_m_s,state_pz_m,motor_angle_deg
599.034,8.324,0.0,0.0,-14.996,-15.072,-4.494,0.0
600.044,8.157,0.0,0.0,-14.425,-15.169,-4.545,0.0
601.054,8.407,0.0,0.0,-15.001,-15.087,-4.517,0.0
602.044,7.991,0.0,0.0,-14.565,-15.369,-4.682,0.0
603.054,8.241,0.0,0.0,-15.051,-15.324,-4.593,0.0
604.065,8.241,0.0,0.0,-14.756,-15.192,-4.578,0.0
605.071,8.074,0.0,0.0,-14.744,-15.21,-4.594,0.0
606.081,7.991,0.0,0.0,-15.123,-15.297,-4.648,0.0
607.091,8.241,0.0,0.0,-15.057,-15.286,-4.595,0.0
608.123,7.908,0.0,0.0,-15.0,-15.507,-4.751,0.0
609.134,7.908,0.0,0.0,-14.967,-15.496,-4.761,0.0
610.144,8.324,0.0,0.0,-14.498,-15.373,-4.613,0.0
611.155,8.157,0.0,0.0,-15.246,-15.529,-4.694,0.0
612.144,8.074,0.0,0.0,-14.733,-15.49,-4.736,0.0
613.154,7.991,0.0,0.0,-15.405,-15.501,-4.755,0.0
614.165,8.157,0.0,0.0,-14.485,-15.448,-4.729,0.0
615.176,8.157,0.0,0.0,-14.292,-15.387,-4.767,0.0
616.186,8.074,0.0,0.0,-15.141,-15.399,-4.756,0.0
617.196,8.074,0.0,0.0,-14.567,-15.399,-4.738,0.0
618.228,8.074,0.0,0.0,-14.95,-15.427,-4.829,0.0
619.239,7.991,0.0,0.0,-14.074,-15.312,-4.818,0.0
620.249,7.908,0.0,0.0,-14.379,-15.304,-4.803,0.0
621.259,7.825,0.0,0.0,-14.6,-15.367,-4.883,0.0
622.249,7.825,0.0,0.0,-14.402,-15.334,-4.841,0.0
623.254,7.991,0.0,0.0,-14.622,-15.355,-4.811,0.0
624.265,7.991,0.0,0.0,-14.653,-15.296,-4.836,0.0
625.276,7.825,0.0,0.0,-15.138,-15.338,-4.858,0.0
626.286,7.908,0.0,0.0,-14.984,-15.324,-4.849,0.0
627.296,7.991,0.0,0.0,-13.962,-15.37,-4.902,0.0
628.329,7.741,0.0,0.0,-13.343,-14.286,-5.144,0.0
629.339,7.242,0.0,0.0,-13.193,-13.976,-5.3,0.0
630.349,7.325,0.0,0.0,-13.399,-14.072,-5.298,0.0
631.36,7.574,0.0,0.0,-13.955,-14.263,-5.219,0.0
632.35,7.658,0.0,0.0,-14.112,-14.506,-5.191,0.0
633.359,7.492,0.0,0.0,-14.72,-14.883,-5.277,0.0
634.375,7.574,0.0,0.0,-14.475,-15.072,-5.279,0.0
635.387,7.408,0.0,0.0,-15.489,-15.373,-5.374,0.0
636.397,7.574,0.0,0.0,-15.145,-15.364,-5.273,0.0
637.406,7.492,0.0,0.0,-14.781,-15.547,-5.318,0.0
638.439,7.492,0.0,0.0,-15.313,-15.726,-5.31,0.0
639.449,7.408,0.0,0.0,-15.142,-15.939,-5.351,0.0
640.459,7.492,0.0,0.0,-15.091,-16.021,-5.348,0.0
641.467,7.492,0.0,0.0,-15.767,-16.07,-5.347,0.0
642.477,7.741,0.0,0.0,-17.398,-15.859,-5.087,0.0
643.465,7.991,0.0,0.0,-15.578,-16.119,-4.97,0.0
644.476,7.574,0.0,0.0,-15.954,-16.296,-5.147,0.0
645.487,7.825,0.0,0.0,-16.055,-16.283,-5.028,0.0
646.496,7.574,0.0,0.0,-15.955,-16.428,-5.133,0.0
647.528,7.408,0.0,0.0,-15.435,-16.54,-5.265,0.0
648.539,7.908,0.0,0.0,-15.988,-16.284,-5.02,0.0
649.55,7.492,0.0,0.0,-16.687,-16.59,-5.153,0.0
650.559,7.741,0.0,0.0,-16.25,-16.616,-5.095,0.0
651.549,7.574,0.0,0.0,-15.671,-16.566,-5.112,0.0
652.559,7.574,0.0,0.0,-16.071,-16.567,-5.222,0.0
653.57,7.825,0.0,0.0,-15.728,-16.643,-5.111,0.0
654.581,7.825,0.0,0.0,-15.846,-16.563,-5.028,0.0
655.591,7.741,0.0,0.0,-15.354,-16.55,-5.076,0.0
656.623,7.741,0.0,0.0,-15.95,-16.635,-5.137,0.0
657.634,7.492,0.0,0.0,-15.484,-16.728,-5.263,0.0
658.646,7.492,0.0,0.0,-15.931,-16.657,-5.175,0.0
659.654,7.574,0.0,0.0,-14.568,-16.579,-5.146,0.0
660.64,7.574,0.0,0.0,-16.357,-16.728,-5.294,0.0
661.651,7.658,0.0,0.0,-15.624,-16.643,-5.254,0.0
662.664,7.492,0.0,0.0,-16.505,-16.635,-5.256,0.0
663.671,7.658,0.0,0.0,-15.528,-16.565,-5.179,0.0
664.685,7.825,0.0,0.0,-16.2,-16.469,-5.118,0.0
665.696,7.825,0.0,0.0,-16.6,-16.567,-5.139,0.0
666.723,7.574,0.0,0.0,-15.969,-16.663,-5.231,0.0
667.734,7.492,0.0,0.0,-15.285,-16.692,-5.3,0.0
668.744,7.658,0.0,0.0,-16.298,-16.637,-5.214,0.0
669.754,7.408,0.0,0.0,-15.628,-16.764,-5.339,0.0
670.744,7.492,0.0,0.0,-15.93,-16.687,-5.307,0.0
671.755,7.574,0.0,0.0,-15.638,-16.674,-5.294,0.0
672.767,7.741,0.0,0.0,-16.471,-16.661,-5.245,0.0
673.776,7.492,0.0,0.0,-15.961,-16.786,-5.277,0.0
674.787,7.492,0.0,0.0,-16.423,-16.769,-5.291,0.0
675.821,7.658,0.0,0.0,-16.611,-16.753,-5.253,0.0
676.829,7.492,0.0,0.0,-16.396,-16.852,-5.345,0.0
677.839,7.492,0.0,0.0,-16.096,-16.784,-5.315,0.0
678.849,7.492,0.0,0.0,-15.98,-16.805,-5.278,0.0
679.84,7.492,0.0,0.0,-15.802,-16.805,-5.317,0.0
680.85,7.658,0.0,0.0,-15.634,-16.733,-5.221,0.0
681.862,7.574,0.0,0.0,-16.154,-16.689,-5.223,0.0
682.877,7.574,0.0,0.0,-16.336,-16.682,-5.297,0.0
683.892,7.408,0.0,0.0,-16.469,-16.766,-5.369,0.0
684.929,7.408,0.0,0.0,-15.739,-16.863,-5.443,0.0
685.944,7.574,0.0,0.0,-15.889,-16.73,-5.277,0.0
686.959,7.741,0.0,0.0,-16.245,-16.818,-5.274,0.0
687.953,7.574,0.0,0.0,-16.342,-16.875,-5.276,0.0
688.968,7.492,0.0,0.0,-16.368,-16.921,-5.378,0.0
689.983,7.492,0.0,0.0,-16.517,-16.855,-5.281,0.0
691.02,7.492,0.0,0.0,-16.232,-16.999,-5.342,0.0
692.035,7.325,0.0,0.0,-16.088,-16.984,-5.319,0.0
693.05,7.574,0.0,0.0,-16.649,-16.943,-5.306,0.0
694.044,7.574,0.0,0.0,-16.129,-16.968,-5.378,0.0
695.059,7.658,0.0,0.0,-15.95,-16.784,-5.257,0.0
696.076,7.325,0.0,0.0,-16.144,-16.939,-5.397,0.0
697.091,7.325,0.0,0.0,-16.463,-16.949,-5.404,0.0
698.128,7.408,0.0,0.0,-15.561,-16.928,-5.371,0.0
699.141,7.492,0.0,0.0,-16.387,-16.943,-5.337,0.0
700.155,7.574,0.0,0.0,-16.613,-16.913,-5.295,0.0
701.148,7.574,0.0,0.0,-16.69,-17.017,-5.384,0.0
702.163,7.408,0.0,0.0,-16.779,-17.026,-5.323,0.0
703.177,7.408,0.0,0.0,-16.078,-17.184,-5.444,0.0
704.193,7.574,0.0,0.0,-16.646,-17.163,-5.324,0.0
705.228,7.325,0.0,0.0,-16.968,-17.297,-5.441,0.0
706.243,7.242,0.0,0.0,-16.787,-17.399,-5.447,0.0
707.258,7.408,0.0,0.0,-16.732,-17.412,-5.446,0.0
708.252,7.408,0.0,0.0,-16.744,-17.413,-5.409,0.0
709.267,7.408,0.0,0.0,-16.772,-17.487,-5.386,0.0
710.282,7.492,0.0,0.0,-17.266,-17.661,-5.358,0.0
711.319,7.825,0.0,0.0,-17.269,-17.711,-5.289,0.0
712.335,7.325,0.0,0.0,-16.98,-17.897,-5.448,0.0
713.351,7.492,0.0,0.0,-17.26,-17.631,-5.317,0.0
714.346,7.574,0.0,0.0,-16.419,-17.693,-5.376,0.0
715.36,7.574,0.0,0.0,-17.121,-17.624,-5.323,0.0
716.375,7.574,0.0,0.0,-17.292,-17.775,-5.287,0.0
717.39,7.408,0.0,0.0,-16.755,-17.997,-5.453,0.0
718.406,7.574,0.0,0.0,-17.154,-17.957,-5.339,0.0
719.443,7.325,0.0,0.0,-17.291,-18.203,-5.464,0.0
720.458,7.658,0.0,0.0,-16.721,-18.019,-5.31,0.0
721.452,7.408,0.0,0.0,-17.189,-18.178,-5.424,0.0
722.467,7.658,0.0,0.0,-17.898,-18.088,-5.276,0.0
723.483,7.408,0.0,0.0,-17.13,-18.288,-5.403,0.0
724.519,7.658,0.0,0.0,-17.685,-18.318,-5.303,0.0
725.533,7.658,0.0,0.0,-17.865,-18.385,-5.33,0.0
726.547,7.325,0.0,0.0,-17.324,-18.491,-5.453,0.0
727.542,7.242,0.0,0.0,-17.527,-18.439,-5.451,0.0
728.557,7.492,0.0,0.0,-17.833,-18.495,-5.477,0.0
729.573,7.408,0.0,0.0,-18.255,-18.599,-5.429,0.0
730.588,7.574,0.0,0.0,-18.106,-18.623,-5.336,0.0
731.625,7.408,0.0,0.0,-18.063,-18.707,-5.395,0.0
732.639,7.658,0.0,0.0,-17.977,-18.645,-5.322,0.0
733.655,7.741,0.0,0.0,-17.81,-18.682,-5.342,0.0
734.649,7.574,0.0,0.0,-18.013,-18.603,-5.318,0.0
735.664,7.574,0.0,0.0,-17.982,-18.622,-5.353,0.0
736.679,7.408,0.0,0.0,-18.015,-18.725,-5.433,0.0
737.694,7.492,0.0,0.0,-18.081,-18.709,-5.427,0.0
738.731,7.658,0.0,0.0,-18.012,-18.642,-5.347,0.0
739.746,7.825,0.0,0.0,-18.215,-18.634,-5.287,0.0
740.74,7.325,0.0,0.0,-17.907,-18.865,-5.463,0.0
741.755,7.574,0.0,0.0,-17.962,-18.849,-5.384,0.0
742.77,7.574,0.0,0.0,-18.344,-18.909,-5.364,0.0
743.786,7.325,0.0,0.0,-17.982,-18.969,-5.474,0.0
744.824,7.741,0.0,0.0,-17.825,-18.732,-5.284,0.0
745.84,7.741,0.0,0.0,-18.078,-18.749,-5.288,0.0
746.855,7.574,0.0,0.0,-18.272,-18.806,-5.368,0.0
747.849,7.492,0.0,0.0,-17.999,-18.825,-5.435,0.0
748.864,7.574,0.0,0.0,-18.3,-18.794,-5.352,0.0
749.879,7.574,0.0,0.0,-18.008,-18.885,-5.385,0.0
750.894,7.741,0.0,0.0,-18.073,-18.809,-5.295,0.0
751.93,7.492,0.0,0.0,-18.117,-18.904,-5.387,0.0
752.945,7.325,0.0,0.0,-18.053,-18.975,-5.432,0.0
753.96,7.658,0.0,0.0,-18.182,-18.915,-5.357,0.0
754.954,7.658,0.0,0.0,-18.318,-18.975,-5.371,0.0
755.969,7.741,0.0,0.0,-18.092,-18.871,-5.21,0.0
756.984,7.325,0.0,0.0,-18.285,-18.993,-5.394,0.0
758.021,8.074,0.0,0.0,-18.017,-18.7,-5.139,0.0
759.036,7.658,0.0,0.0,-18.019,-18.861,-5.278,0.0
760.052,7.658,0.0,0.0,-18.138,-18.878,-5.308,0.0
761.047,7.574,0.0,0.0,-18.148,-18.934,-5.336,0.0
762.063,7.242,0.0,0.0,-17.906,-19.068,-5.507,0.0
763.078,7.574,0.0,0.0,-17.944,-18.853,-5.337,0.0
764.093,7.408,0.0,0.0,-17.979,-18.906,-5.382,0.0
765.13,7.574,0.0,0.0,-18.124,-18.915,-5.371,0.0
766.145,7.574,0.0,0.0,-17.918,-18.914,-5.346,0.0
767.16,7.492,0.0,0.0,-18.115,-18.938,-5.36,0.0
768.154,7.741,0.0,0.0,-18.182,-18.78,-5.268,0.0
769.168,7.741,0.0,0.0,-18.048,-18.715,-5.24,0.0
770.183,7.658,0.0,0.0,-17.975,-18.737,-5.283,0.0
771.22,7.492,0.0,0.0,-17.686,-18.676,-5.313,0.0
772.235,7.825,0.0,0.0,-17.841,-18.581,-5.243,0.0
773.25,7.574,0.0,0.0,-17.863,-18.66,-5.295,0.0
774.244,7.574,0.0,0.0,-17.984,-18.586,-5.292,0.0
775.26,7.574,0.0,0.0,-17.791,-18.628,-5.377,0.0
776.276,7.574,0.0,0.0,-17.61,-18.514,-5.342,0.0
777.292,7.408,0.0,0.0,-17.74,-18.532,-5.361,0.0
778.33,7.492,0.0,0.0,-17.62,-18.469,-5.285,0.0
779.345,7.492,0.0,0.0,-17.468,-18.456,-5.32,0.0
780.361,7.741,0.0,0.0,-17.575,-18.311,-5.221,0.0
781.356,7.658,0.0,0.0,-17.636,-18.34,-5.28,0.0
782.371,7.825,0.0,0.0,-17.485,-18.169,-5.166,0.0
783.387,7.658,0.0,0.0,-17.29,-18.186,-5.216,0.0
784.403,7.658,0.0,0.0,-17.539,-18.16,-5.263,0.0
785.441,7.741,0.0,0.0,-17.14,-18.002,-5.186,0.0
786.456,7.658,0.0,0.0,-16.888,-17.834,-5.19,0.0
787.471,7.492,0.0,0.0,-16.898,-17.883,-5.371,0.0
788.466,7.908,0.0,0.0,-16.58,-17.548,-5.209,0.0
789.482,7.741,0.0,0.0,-16.768,-17.354,-5.115,0.0
790.52,7.908,0.0,0.0,-16.372,-17.147,-5.141,0.0
791.536,7.741,0.0,0.0,-15.828,-16.982,-5.173,0.0
792.552,7.741,0.0,0.0,-15.443,-16.747,-5.176,0.0
793.547,7.574,0.0,0.0,-15.636,-16.676,-5.296,0.0
794.562,7.574,0.0,0.0,-15.068,-16.372,-5.257,0.0
795.578,7.492,0.0,0.0,-15.078,-16.022,-5.208,0.0
796.595,7.658,0.0,0.0,-14.268,-15.717,-5.17,0.0
797.633,7.741,0.0,0.0,-14.065,-15.387,-5.089,0.0
798.649,7.492,0.0,0.0,-13.546,-15.109,-5.167,0.0
799.644,7.908,0.0,0.0,-13.501,-14.623,-5.012,0.0
800.659,7.658,0.0,0.0,-13.359,-14.31,-5.012,0.0
801.676,7.908,0.0,0.0,-12.831,-13.808,-4.967,0.0
802.693,7.825,0.0,0.0,-12.356,-13.321,-4.978,0.0
803.731,7.741,0.0,0.0,-11.812,-12.77,-4.978,0.0
804.746,7.492,0.0,0.0,-11.165,-12.292,-5.054,0.0
805.761,7.908,0.0,0.0,-11.025,-11.651,-4.941,0.0
806.756,7.741,0.0,0.0,-10.238,-11.121,-4.974,0.0
807.771,7.825,0.0,0.0,-9.595,-10.459,-4.856,0.0
808.786,7.825,0.0,0.0,-8.97,-9.925,-4.869,0.0
809.823,7.658,0.0,0.0,-8.36,-9.37,-4.892,0.0
810.838,7.741,0.0,0.0,-7.523,-8.738,-4.827,0.0
811.853,7.908,0.0,0.0,-7.499,-8.015,-4.735,0.0
812.847,7.741,0.0,0.0,-6.864,-7.585,-4.819,0.0
813.857,7.908,0.0,0.0,-6.467,-7.131,-4.705,0.0
814.871,7.825,0.0,0.0,-6.214,-6.753,-4.673,0.0
815.886,7.908,0.0,0.0,-6.181,-6.453,-4.566,0.0
816.924,7.492,0.0,0.0,-6.222,-6.629,-4.833,0.0
817.94,7.991,0.0,0.0,-6.485,-6.609,-4.646,0.0
818.955,7.741,0.0,0.0,-7.024,-6.861,-4.661,0.0
819.949,7.991,0.0,0.0,-7.333,-7.096,-4.589,0.0
820.963,7.825,0.0,0.0,-7.767,-7.534,-4.634,0.0
821.977,7.908,0.0,0.0,-7.78,-7.833,-4.603,0.0
822.991,7.825,0.0,0.0,-8.521,-8.278,-4.677,0.0
824.026,7.825,0.0,0.0,-8.812,-8.81,-4.741,0.0
825.04,7.658,0.0,0.0,-9.307,-9.271,-4.755,0.0
826.049,7.825,0.0,0.0,-9.223,-9.705,-4.717,0.0
827.06,7.741,0.0,0.0,-10.095,-10.195,-4.753,0.0
828.052,7.741,0.0,0.0,-10.724,-10.671,-4.768,0.0
829.067,7.825,0.0,0.0,-11.031,-11.128,-4.796,0.0
830.083,7.741,0.0,0.0,-11.845,-11.573,-4.756,0.0
831.12,7.908,0.0,0.0,-12.042,-12.023,-4.696,0.0
832.135,7.908,0.0,0.0,-12.698,-12.598,-4.758,0.0
833.15,7.991,0.0,0.0,-13.077,-13.027,-4.791,0.0
834.144,7.908,0.0,0.0,-13.162,-13.415,-4.797,0.0
835.159,8.074,0.0,0.0,-13.856,-13.654,-4.741,0.0
836.175,8.074,0.0,0.0,-13.405,-13.88,-4.739,0.0
837.19,8.157,0.0,0.0,-14.145,-14.013,-4.674,0.0
838.227,8.157,0.0,0.0,-13.547,-14.157,-4.695,0.0
839.243,7.991,0.0,0.0,-14.117,-14.411,-4.786,0.0
840.258,7.991,0.0,0.0,-13.956,-14.39,-4.729,0.0
841.252,8.157,0.0,0.0,-14.279,-14.461,-4.702,0.0
842.266,8.157,0.0,0.0,-14.426,-14.624,-4.652,0.0
843.281,7.991,0.0,0.0,-14.712,-14.874,-4.731,0.0
844.295,8.241,0.0,0.0,-14.361,-14.909,-4.594,0.0
845.331,8.157,0.0,0.0,-14.948,-15.152,-4.688,0.0
846.345,8.074,0.0,0.0,-14.73,-15.269,-4.672,0.0
847.357,8.074,0.0,0.0,-15.036,-15.5,-4.739,0.0
848.35,8.157,0.0,0.0,-14.686,-15.411,-4.681,0.0
849.365,8.241,0.0,0.0,-14.494,-15.352,-4.622,0.0
850.376,8.241,0.0,0.0,-14.757,-15.459,-4.652,0.0
851.391,8.157,0.0,0.0,-14.7,-15.493,-4.667,0.0
852.403,8.241,0.0,0.0,-14.464,-15.39,-4.62,0.0
853.438,8.157,0.0,0.0,-14.314,-15.22,-4.597,0.0
854.449,8.324,0.0,0.0,-14.145,-15.011,-4.47,0.0
855.46,8.074,0.0,0.0,-14.016,-14.987,-4.658,0.0
856.472,8.157,0.0,0.0,-13.827,-14.671,-4.597,0.0
857.46,8.407,0.0,0.0,-13.292,-14.314,-4.389,0.0
858.472,8.407,0.0,0.0,-13.397,-14.08,-4.417,0.0
859.481,8.324,0.0,0.0,-12.963,-13.789,-4.435,0.0
860.491,8.074,0.0,0.0,-12.927,-13.673,-4.596,0.0
861.525,8.241,0.0,0.0,-12.323,-13.18,-4.398,0.0
862.534,8.157,0.0,0.0,-12.302,-13.068,-4.52,0.0
863.545,8.241,0.0,0.0,-12.169,-12.741,-4.405,0.0
864.555,8.324,0.0,0.0,-12.273,-12.538,-4.448,0.0
865.545,8.491,0.0,0.0,-11.193,-12.062,-4.273,0.0
866.554,8.241,0.0,0.0,-10.966,-11.83,-4.38,0.0
867.565,8.324,0.0,0.0,-10.634,-11.433,-4.35,0.0
868.581,8.324,0.0,0.0,-10.16,-10.988,-4.26,0.0
869.591,8.491,0.0,0.0,-9.47,-10.696,-4.327,0.0
870.623,8.074,0.0,0.0,-9.278,-10.27,-4.316,0.0
871.635,8.324,0.0,0.0,-8.972,-9.781,-4.286,0.0
872.645,8.574,0.0,0.0,-8.958,-9.269,-4.109,0.0
873.654,8.324,0.0,0.0,-8.091,-9.028,-4.246,0.0
874.645,8.324,0.0,0.0,-8.058,-8.612,-4.228,0.0
875.657,8.241,0.0,0.0,-7.494,-8.204,-4.201,0.0
876.671,8.491,0.0,0.0,-7.047,-7.762,-4.109,0.0
877.681,8.491,0.0,0.0,-6.986,-7.346,-4.055,0.0
878.691,8.574,0.0,0.0,-6.545,-6.994,-4.006,0.0
879.719,8.324,0.0,0.0,-6.386,-6.791,-4.126,0.0
880.729,8.407,0.0,0.0,-6.156,-6.469,-3.983,0.0
881.742,8.491,0.0,0.0,-6.16,-6.573,-4.081,0.0
882.75,8.491,0.0,0.0,-6.195,-6.482,-3.978,0.0
883.74,8.491,0.0,0.0,-6.482,-6.571,-3.938,0.0
884.75,8.657,0.0,0.0,-6.881,-6.814,-3.913,0.0
885.761,8.574,0.0,0.0,-7.393,-7.301,-4.017,0.0
886.772,8.574,0.0,0.0,-7.792,-7.624,-3.99,0.0
887.782,8.74,0.0,0.0,-7.958,-7.949,-3.933,0.0
888.792,8.491,0.0,0.0,-8.253,-8.454,-4.046,0.0
889.824,8.574,0.0,0.0,-8.697,-8.776,-3.98,0.0
890.835,8.407,0.0,0.0,-9.289,-9.206,-4.047,0.0
891.848,8.491,0.0,0.0,-9.357,-9.504,-3.997,0.0
892.854,8.407,0.0,0.0,-9.737,-9.927,-4.087,0.0
894.855,8.657,0.0,0.0,-10.387,-10.506,-4.045,0.0
895.871,8.574,0.0,0.0,-10.503,-10.84,-4.093,0.0
896.882,8.74,0.0,0.0,-10.8,-11.009,-3.97,0.0
897.894,8.491,0.0,0.0,-11.168,-11.402,-4.085,0.0
898.928,8.657,0.0,0.0,-11.391,-11.605,-3.98,0.0
899.94,8.407,0.0,0.0,-11.781,-11.984,-4.158,0.0
900.951,8.657,0.0,0.0,-11.729,-12.152,-4.068,0.0
901.942,8.657,0.0,0.0,-11.943,-12.292,-4.009,0.0
902.95,8.907,0.0,0.0,-12.243,-12.424,-3.928,0.0
903.96,8.574,0.0,0.0,-11.996,-12.675,-4.037,0.0
904.971,8.574,0.0,0.0,-12.328,-12.709,-4.04,0.0
905.984,8.657,0.0,0.0,-12.455,-12.82,-4.083,0.0
906.996,8.907,0.0,0.0,-12.332,-12.723,-3.907,0.0
908.024,8.491,0.0,0.0,-12.392,-12.901,-4.172,0.0
909.036,8.74,0.0,0.0,-12.503,-12.746,-4.069,0.0
910.047,8.657,0.0,0.0,-12.266,-12.715,-4.09,0.0
911.061,8.74,0.0,0.0,-11.679,-12.448,-3.983,0.0
912.054,8.657,0.0,0.0,-11.295,-12.343,-3.982,0.0
913.067,8.574,0.0,0.0,-11.499,-12.219,-4.056,0.0
914.077,8.824,0.0,0.0,-10.886,-11.836,-3.904,0.0
915.093,8.74,0.0,0.0,-11.36,-11.65,-3.967,0.0
916.13,8.657,0.0,0.0,-10.771,-11.405,-3.963,0.0
917.145,8.74,0.0,0.0,-10.149,-10.98,-3.885,0.0
918.161,8.824,0.0,0.0,-9.756,-10.655,-3.854,0.0
919.156,8.99,0.0,0.0,-9.524,-10.4,-3.837,0.0
920.171,8.657,0.0,0.0,-9.621,-10.165,-3.914,0.0
921.187,8.74,0.0,0.0,-9.283,-9.689,-3.876,0.0
922.225,8.74,0.0,0.0,-8.803,-9.247,-3.829,0.0
923.24,8.574,0.0,0.0,-7.702,-8.89,-3.938,0.0
924.255,8.824,0.0,0.0,-7.438,-8.21,-3.726,0.0
925.249,8.74,0.0,0.0,-6.428,-7.87,-3.824,0.0
926.264,8.907,0.0,0.0,-6.31,-7.239,-3.71,0.0
927.279,8.74,0.0,0.0,-6.164,-6.829,-3.696,0.0
928.294,8.657,0.0,0.0,-5.875,-6.584,-3.826,0.0
929.331,8.824,0.0,0.0,-4.87,-5.914,-3.636,0.0
930.346,8.824,0.0,0.0,-4.742,-5.564,-3.66,0.0
931.361,8.574,0.0,0.0,-5.107,-5.405,-3.714,0.0
932.355,8.907,0.0,0.0,-4.773,-5.234,-3.683,0.0
933.37,8.824,0.0,0.0,-4.633,-5.058,-3.661,0.0
934.384,9.074,0.0,0.0,-4.818,-4.882,-3.578,0.0
935.394,8.74,0.0,0.0,-4.955,-5.006,-3.664,0.0
936.408,8.74,0.0,0.0,-4.835,-5.166,-3.68,0.0
937.439,8.74,0.0,0.0,-5.367,-5.356,-3.672,0.0
938.449,8.657,0.0,0.0,-5.886,-5.693,-3.681,0.0
939.459,8.657,0.0,0.0,-6.611,-6.251,-3.778,0.0
940.473,8.907,0.0,0.0,-6.732,-6.617,-3.642,0.0
941.465,8.657,0.0,0.0,-7.244,-7.239,-3.809,0.0
942.477,8.824,0.0,0.0,-7.667,-7.503,-3.694,0.0
943.49,8.824,0.0,0.0,-8.044,-7.91,-3.769,0.0
944.524,8.657,0.0,0.0,-8.209,-8.302,-3.792,0.0
945.538,8.907,0.0,0.0,-8.885,-8.58,-3.666,0.0
946.551,8.74,0.0,0.0,-9.212,-9.089,-3.793,0.0
947.543,8.824,0.0,0.0,-9.217,-9.414,-3.771,0.0
948.559,8.74,0.0,0.0,-9.768,-9.785,-3.832,0.0
949.572,8.99,0.0,0.0,-9.719,-10.015,-3.733,0.0
950.587,8.907,0.0,0.0,-10.008,-10.296,-3.811,0.0
951.623,8.74,0.0,0.0,-9.985,-10.417,-3.783,0.0
952.635,8.824,0.0,0.0,-10.501,-10.489,-3.761,0.0
953.648,8.99,0.0,0.0,-10.186,-10.408,-3.74,0.0
954.659,8.99,0.0,0.0,-9.881,-10.419,-3.687,0.0
955.65,8.574,0.0,0.0,-10.024,-10.67,-3.928,0.0
956.662,8.74,0.0,0.0,-9.984,-10.511,-3.814,0.0
957.68,8.74,0.0,0.0,-9.783,-10.49,-3.92,0.0
958.696,8.74,0.0,0.0,-9.874,-10.38,-3.837,0.0
959.73,8.824,0.0,0.0,-9.901,-10.261,-3.792,0.0
960.743,8.824,0.0,0.0,-9.877,-10.213,-3.859,0.0
961.755,8.574,0.0,0.0,-9.317,-10.057,-3.859,0.0
962.744,8.824,0.0,0.0,-8.852,-9.729,-3.817,0.0
963.756,9.074,0.0,0.0,-8.732,-9.275,-3.638,0.0
964.768,8.74,0.0,0.0,-8.523,-9.084,-3.663,0.0
965.781,8.74,0.0,0.0,-7.777,-8.824,-3.739,0.0
966.795,8.99,0.0,0.0,-7.852,-8.48,-3.672,0.0
967.829,8.824,0.0,0.0,-7.718,-8.245,-3.683,0.0
968.839,9.074,0.0,0.0,-7.205,-7.835,-3.638,0.0
969.85,8.99,0.0,0.0,-6.516,-7.446,-3.581,0.0
970.859,8.99,0.0,0.0,-6.54,-7.099,-3.599,0.0
971.85,8.99,0.0,0.0,-6.078,-6.697,-3.475,0.0
972.859,8.824,0.0,0.0,-5.923,-6.482,-3.598,0.0
973.871,8.74,0.0,0.0,-5.141,-6.061,-3.62,0.0
974.881,9.074,0.0,0.0,-5.223,-5.536,-3.511,0.0
975.891,8.824,0.0,0.0,-4.813,-5.326,-3.626,0.0
976.924,8.99,0.0,0.0,-4.542,-4.982,-3.533,0.0
977.934,8.99,0.0,0.0,-4.219,-4.649,-3.458,0.0
978.944,9.074,0.0,0.0,-4.288,-4.467,-3.5,0.0
979.954,9.074,0.0,0.0,-4.416,-4.301,-3.422,0.0
980.945,8.907,0.0,0.0,-4.09,-4.397,-3.498,0.0
981.954,8.74,0.0,0.0,-4.276,-4.589,-3.618,0.0
982.965,8.824,0.0,0.0,-4.71,-4.809,-3.597,0.0
983.976,8.824,0.0,0.0,-4.897,-5.003,-3.558,0.0
984.986,8.907,0.0,0.0,-5.55,-5.267,-3.56,0.0
986.019,8.74,0.0,0.0,-5.535,-5.629,-3.664,0.0
987.029,8.907,0.0,0.0,-5.949,-5.853,-3.584,0.0
988.039,8.99,0.0,0.0,-6.279,-6.193,-3.593,0.0
989.052,8.824,0.0,0.0,-6.397,-6.56,-3.603,0.0
990.041,8.99,0.0,0.0,-6.411,-6.885,-3.54,0.0
991.05,8.74,0.0,0.0,-7.065,-7.227,-3.693,0.0
992.06,8.99,0.0,0.0,-7.189,-7.341,-3.615,0.0
993.072,9.074,0.0,0.0,-7.082,-7.406,-3.539,0.0
994.083,8.907,0.0,0.0,-7.755,-7.722,-3.629,0.0
995.092,8.99,0.0,0.0,-7.586,-7.744,-3.547,0.0
996.124,8.824,0.0,0.0,-7.683,-8.054,-3.716,0.0
997.139,8.907,0.0,0.0,-7.715,-8.054,-3.612,0.0
998.154,8.907,0.0,0.0,-7.746,-8.262,-3.634,0.0
999.145,8.907,0.0,0.0,-8.53,-8.385,-3.595,0.0
1000.155,8.99,0.0,0.0,-8.206,-8.6,-3.59,0.0
1002.176,8.907,0.0,0.0,-8.096,-8.729,-3.658,0.0
1003.186,8.99,0.0,0.0,-8.379,-8.626,-3.604,0.0
