t_s,alt_ft_rel,vel,acc
260.749,0.26,24.6,9.85
261.249,0.24,24.6,9.76
261.759,0.19,24.61,9.76
262.265,0.22,24.61,9.8
262.769,0.1,24.61,9.98
263.274,0.07,24.61,9.83
263.779,0.15,24.6,9.85
264.285,0.17,24.6,9.91
264.789,0.23,24.6,9.74
265.295,0.23,24.6,9.68
265.8,0.13,24.61,9.7
266.305,0.04,24.62,9.83
266.809,-0.1,24.64,9.87
267.314,-0.05,24.63,9.77
267.819,-0.17,24.63,9.93
268.324,-0.09,24.62,9.84
268.839,0.1,24.59,9.82
269.344,-0.17,24.63,9.59
269.844,-0.17,24.63,9.91
270.354,-0.27,24.64,9.73
270.854,-0.16,24.63,9.87
271.354,-0.33,24.64,9.82
271.86,-0.26,24.64,9.78
272.365,-0.26,24.63,9.71
272.869,-0.34,24.63,9.84
273.374,-0.25,24.62,9.81
273.879,-0.33,24.63,9.75
274.386,-0.35,24.63,9.86
274.891,-0.37,24.64,9.8
275.394,-0.37,24.63,9.74
275.899,-0.39,24.63,9.76
276.405,-0.4,24.63,9.8
276.91,-0.29,24.62,9.69
