t_s,alt_ft_rel,lat,lon,acc
111.178,0.44,39.0002242,-76.1050659,9.82
111.685,0.44,39.0002243,-76.1050661,9.77
112.274,0.36,39.0002244,-76.1050665,9.9
112.78,0.46,39.0002249,-76.1050668,9.87
113.368,0.25,39.0002253,-76.1050671,9.82
113.882,0.42,39.0002256,-76.1050672,9.73
114.495,0.41,39.0002259,-76.1050675,9.7
115.077,0.54,39.0002261,-76.1050677,10.04
115.585,0.36,39.0002264,-76.1050678,9.74
116.174,0.54,39.0002264,-76.1050679,9.78
116.675,0.5,39.0002266,-76.105068,9.8
117.181,0.58,39.0002268,-76.1050682,9.83
117.685,0.65,39.0002269,-76.1050686,9.79
118.274,0.65,39.000227,-76.1050688,9.76
118.779,0.58,39.0002274,-76.105069,9.77
119.368,0.61,39.0002277,-76.1050692,9.8
119.882,0.65,39.0002278,-76.1050693,10.09
120.497,0.75,39.0002281,-76.1050694,9.86
121.079,0.67,39.0002285,-76.1050696,9.73
121.579,0.63,39.0002288,-76.1050696,9.81
122.167,0.64,39.0002291,-76.1050699,9.69
122.667,0.65,39.0002293,-76.1050701,9.74
123.174,0.68,39.0002294,-76.1050701,9.7
123.675,0.64,39.0002296,-76.1050701,9.76
124.182,0.58,39.0002298,-76.10507,9.69
124.682,0.69,39.0002299,-76.10507,9.79
125.269,0.6,39.0002301,-76.1050701,10.12
125.779,0.57,39.0002303,-76.1050699,9.58
126.369,0.54,39.0002306,-76.1050699,9.74
126.882,0.55,39.0002304,-76.1050697,9.98
127.495,0.65,39.0002305,-76.1050696,9.71
128.076,0.66,39.0002305,-76.1050696,9.61
128.577,0.66,39.0002305,-76.1050696,9.74
129.084,0.76,39.0002304,-76.1050696,9.68
129.584,0.68,39.0002305,-76.1050696,9.81
130.172,0.55,39.0002306,-76.1050696,9.82
130.673,0.61,39.0002308,-76.1050698,9.75
131.18,0.56,39.0002309,-76.1050698,9.85
131.68,0.63,39.0002312,-76.1050699,9.82
132.267,0.65,39.0002313,-76.1050699,9.83
132.774,0.54,39.0002315,-76.1050701,9.79
133.279,0.55,39.0002318,-76.10507,9.77
133.779,0.52,39.000232,-76.10507,9.8
134.367,0.68,39.0002326,-76.1050697,9.83
134.879,0.55,39.0002328,-76.1050699,9.58
135.492,0.49,39.0002331,-76.1050699,9.82
136.072,0.45,39.0002333,-76.1050699,9.75
136.574,0.56,39.0002335,-76.1050698,9.61
137.08,0.55,39.0002339,-76.1050697,9.89
137.585,0.47,39.0002342,-76.1050696,9.78
138.174,0.48,39.0002348,-76.1050696,9.91
138.675,0.41,39.0002351,-76.1050695,9.79
