t_s,alt_ft_rel,vel,acc
821.503,3.02,inf,9.93
822.008,2.97,inf,9.94
822.514,3.09,inf,9.88
823.014,2.88,inf,9.88
823.524,2.97,inf,10.01
824.028,2.99,inf,9.76
824.534,2.96,inf,9.83
825.038,2.9,inf,9.91
825.543,2.93,inf,9.86
826.048,3.04,inf,9.94
826.554,3.04,inf,9.91
827.058,3.04,inf,9.92
827.563,3.12,inf,9.92
828.063,3.15,inf,9.93
828.563,3.21,inf,9.86
829.079,3.17,inf,9.88
829.583,3.21,inf,9.89
830.088,3.25,inf,9.91
830.593,3.2,inf,9.85
831.098,3.11,inf,9.92
831.603,3.05,inf,9.91
832.108,3.04,inf,9.9
832.614,2.94,inf,9.85
833.118,2.91,inf,9.89
833.623,2.88,inf,9.93
