t_s,alt_ft_rel,vel,acc
1071.625,4.34,inf,9.89
1072.125,4.27,inf,9.87
1072.625,4.41,inf,9.86
1073.14,4.42,inf,9.86
1073.645,4.38,inf,9.86
1074.15,4.32,inf,9.9
1074.654,4.36,inf,9.86
1075.16,4.5,inf,9.9
1075.66,4.53,inf,9.83
1076.17,4.48,inf,9.92
1076.675,4.57,inf,9.82
1077.18,4.57,inf,9.93
1077.68,4.55,inf,9.86
1078.189,4.58,inf,9.88
1078.689,4.55,inf,9.83
1079.2,4.52,inf,9.91
1079.706,4.55,inf,10.01
1080.206,4.79,inf,10.14
1080.715,5.3,inf,10.13
1081.219,5.75,inf,10.6
1081.719,6.72,inf,9.42
1082.23,7.88,inf,10.57
1082.734,8.81,inf,10.12
1083.24,9.54,inf,8.62
1083.74,9.82,inf,10.05
1084.25,9.94,inf,7.7
1084.754,8.9,inf,10.29
1085.254,7.47,inf,9.56
1085.765,6.25,inf,12.06
1086.27,5.64,inf,10.23
1086.774,5.11,inf,10.75
1087.279,5.34,inf,9.7
1087.785,5.02,inf,9.77
1088.289,4.95,inf,9.38
1088.794,4.6,inf,12.41
1089.294,4.43,inf,9.95
1089.804,4.38,inf,9.84
1090.309,4.44,inf,10.48
1090.814,4.5,inf,9.93
1091.319,4.48,inf,9.87
1091.824,4.45,inf,9.9
1092.324,4.39,inf,9.89
1092.834,4.41,inf,9.9
1093.334,4.46,inf,9.91
1093.844,4.49,inf,9.85
1094.35,4.58,inf,9.95
1094.854,4.64,inf,9.89
1095.36,4.62,inf,9.91
1095.86,4.66,inf,9.8
1096.37,4.66,inf,9.85
1096.874,4.47,inf,9.82
1097.379,4.63,inf,10.0
1097.884,4.45,inf,9.87
1098.389,4.43,inf,9.89
1098.889,4.49,inf,9.9
1099.399,4.57,inf,9.89
1099.905,4.61,inf,9.93
1100.409,4.48,inf,9.9
1100.914,4.51,inf,9.86
1101.419,4.58,inf,9.94
1101.925,4.64,inf,9.88
1102.43,4.68,inf,9.84
1102.934,4.67,inf,9.83
1103.439,4.63,inf,9.82
1103.944,4.65,inf,9.9
1104.449,4.59,inf,9.91
1104.955,4.61,inf,9.88
1105.459,4.58,inf,9.84
1105.965,4.58,inf,10.02
1106.47,4.48,inf,9.86
1106.975,4.5,inf,9.85
1107.479,4.41,inf,9.98
1107.979,4.52,inf,9.84
1108.49,4.63,inf,9.88
1108.995,4.65,inf,9.87
1109.5,4.65,inf,9.85
1110.0,4.73,inf,9.88
1110.51,4.66,inf,9.9
1111.015,4.65,inf,9.96
1111.519,4.56,inf,9.92
1112.025,4.57,inf,9.91
1112.53,4.59,inf,9.8
1113.035,4.56,inf,9.89
1113.539,4.56,inf,9.81
1114.045,4.66,inf,9.93
1114.549,4.75,inf,9.92
1115.055,4.69,inf,9.93
1115.559,4.64,inf,9.92
1116.065,4.67,inf,9.92
1116.57,4.61,inf,9.93
1117.075,4.64,inf,9.83
1117.579,4.62,inf,9.9
1118.084,4.44,inf,9.93
1118.59,4.62,inf,9.78
1119.095,4.55,inf,9.82
1119.599,4.48,inf,9.92
1120.105,4.37,inf,9.86
1120.61,4.4,inf,9.98
1121.114,4.41,inf,9.86
1121.619,4.35,inf,9.93
1122.125,4.26,inf,9.87
1122.63,4.42,inf,9.88
1123.135,4.31,inf,9.88
1123.639,4.35,inf,10.88
1124.145,4.42,inf,9.9
1124.65,4.53,inf,9.94
1125.155,4.51,inf,10.02
1125.659,4.5,inf,9.82
1126.165,4.38,inf,9.9
1126.669,4.35,inf,9.84
1127.186,4.39,inf,9.96
1127.686,4.58,inf,9.93
1128.186,4.66,inf,9.79
1128.69,4.71,inf,9.83
1129.195,4.7,inf,9.85
1129.699,4.9,inf,9.82
1130.205,4.81,inf,9.95
1130.71,4.8,inf,9.93
1131.214,4.77,inf,9.9
1131.719,4.73,inf,9.95
1132.225,4.62,inf,9.9
1132.731,4.69,inf,9.89
1133.235,4.7,inf,9.87
1133.739,4.78,inf,9.88
1134.244,4.87,inf,9.91
1134.75,4.88,inf,9.93
1135.255,4.87,inf,9.9
1135.759,4.7,inf,9.93
1136.265,4.7,inf,9.91
1136.77,4.72,inf,9.89
1137.275,4.71,inf,9.87
1137.78,4.75,inf,9.9
1138.284,4.74,inf,9.85
1138.79,4.72,inf,9.95
1139.295,4.73,inf,9.9
1139.799,4.85,inf,9.89
1140.305,4.75,inf,9.9
1140.81,4.74,inf,9.83
1141.315,4.61,inf,9.84
1141.819,4.71,inf,9.92
1142.324,4.69,inf,9.9
1142.83,4.69,inf,9.96
1143.334,4.67,inf,9.88
1143.839,4.73,inf,9.95
1144.344,4.74,inf,9.79
1144.849,4.8,inf,9.9
1145.354,4.86,inf,9.9
1145.859,4.85,inf,9.98
1146.364,4.84,inf,9.86
1146.881,4.87,inf,9.87
1147.381,4.88,inf,9.96
1147.881,4.83,inf,9.87
1148.384,4.91,inf,9.92
1148.884,4.94,inf,9.89
1149.394,4.93,inf,9.92
1149.899,4.85,inf,9.86
1150.405,5.02,inf,9.83
1150.91,4.98,inf,9.85
1151.415,5.03,inf,9.87
1151.919,4.85,inf,9.91
1152.425,4.5,inf,9.9
1152.925,4.56,inf,9.94
1153.435,4.54,inf,9.8
1153.939,4.81,inf,9.87
