t_s,alt_ft_rel,vel,acc
305.7,0.57,5.809927536946465e+102,9.83
306.206,0.54,3.45772917913604e+102,9.74
306.711,0.52,2.0578382432859861e+102,9.78
307.215,0.5,1.2247050061301937e+102,9.79
307.719,0.47,7.288728144371991e+101,9.84
308.224,0.38,4.3378248391770505e+101,9.76
308.731,0.33,2.5816197233134124e+101,9.84
309.237,0.38,1.537649786015312e+101,9.77
309.754,0.38,9.15335113135071e+100,9.82
310.254,0.23,5.447937919165452e+100,9.79
310.754,0.23,3.2423071780117766e+100,9.74
311.254,0.39,1.929588540035195e+100,9.86
311.762,0.47,1.1483419950478162e+100,9.74
312.262,0.59,6.834025808114882e+99,9.85
312.773,0.56,4.0670721748101564e+99,9.77
313.782,0.64,1.440434146192938e+99,9.71
314.287,0.69,8.572349053010681e+98,9.77
314.793,0.66,5.101604092274645e+98,9.77
315.298,0.74,3.0360863334833564e+98,9.7
315.802,0.63,1.8068492807585318e+98,9.83
316.307,0.64,1.0753012949755978e+98,9.76
316.813,0.55,6.399393668545062e+97,9.64
317.317,0.54,3.808446755646932e+97,9.79
319.842,0.75,2.843143371844236e+96,9.66
320.86,0.75,inf,9.83
321.376,0.79,inf,9.75
321.876,0.84,inf,9.79
323.889,0.87,inf,9.88
324.395,0.93,inf,9.77
327.426,0.92,inf,9.76
327.929,0.88,inf,9.81
328.434,0.84,inf,9.74
328.94,0.9,inf,9.81
329.445,0.89,inf,9.79
329.949,0.82,inf,9.72
330.455,0.9,inf,9.8
330.959,0.96,inf,9.77
331.464,0.88,inf,10.21
331.97,0.94,inf,9.69
332.474,0.98,inf,9.77
332.979,0.99,inf,9.81
333.484,1.02,inf,9.81
333.989,1.02,inf,9.85
334.494,1.06,inf,9.82
334.999,0.97,inf,9.76
335.505,0.99,inf,9.75
336.01,0.93,inf,9.82
336.514,0.84,inf,9.84
