t_s,alt_ft_rel,vel,acc
7.312,-0.09,0.0,9.76
7.812,-0.29,41.78,9.77
8.312,-0.29,84.39,9.76
8.812,-0.36,103.01,9.74
9.312,-0.36,108.54,9.82
9.812,-0.43,109.45,9.88
10.312,-0.31,109.14,9.81
10.812,-0.32,108.67,11.0
11.312,-0.16,108.26,9.62
11.812,0.29,107.96,9.98
12.312,0.27,107.76,9.79
12.812,0.14,107.68,9.86
13.312,0.23,107.61,9.82
13.812,0.2,107.59,9.85
14.312,0.05,107.59,9.86
14.816,0.05,107.59,9.79
15.321,0.01,107.57,9.77
15.826,0.07,107.57,9.85
16.34,0.08,107.56,9.82
16.84,0.03,107.57,9.84
17.351,0.03,107.58,9.79
17.851,-0.12,107.59,9.84
18.36,-0.17,107.61,9.75
18.86,-0.3,107.63,9.81
19.36,-0.15,107.62,10.13
19.864,0.02,107.58,9.72
20.37,-0.12,107.59,9.81
20.874,-0.11,107.6,9.76
21.38,-0.15,107.61,9.74
21.886,-0.13,107.61,9.71
22.389,-0.29,107.62,9.72
22.895,-0.01,107.6,9.88
23.399,-0.05,107.61,9.84
23.904,-0.15,107.61,9.71
24.409,-0.1,107.6,9.72
24.914,0.01,107.59,9.87
25.419,-0.08,107.6,9.81
25.926,-0.15,107.61,9.74
26.429,-0.36,107.62,9.95
26.934,-0.29,107.64,9.81
27.439,-0.09,107.63,9.77
27.945,-0.55,107.67,9.91
28.449,0.01,107.59,9.8
28.954,-0.07,86.6,9.89
29.459,0.68,53.03,9.83
29.964,0.28,31.66,9.87
30.471,0.36,18.75,9.75
30.974,0.08,11.13,9.81
31.481,-0.04,6.58,9.84
31.985,0.19,3.86,9.75
32.491,0.37,2.24,9.69
32.994,0.04,1.36,9.77
33.499,-0.09,0.83,9.85
34.004,0.09,0.48,9.81
34.509,-0.16,0.29,9.84
35.014,-0.36,0.24,9.71
35.519,-0.55,0.19,9.71
36.024,-0.26,0.08,9.84
36.529,-0.04,0.02,9.85
37.034,-0.24,0.01,9.83
37.539,-0.19,19.98,9.85
38.044,-0.33,22.75,9.79
38.549,-0.25,23.64,9.75
39.054,-0.34,24.06,9.81
39.559,-0.35,24.3,9.74
40.064,-0.41,24.43,9.83
40.569,-0.3,24.5,9.74
41.074,-0.62,24.58,9.63
41.579,-0.3,24.58,9.79
42.084,-0.23,24.57,9.78
42.589,-0.47,24.62,9.78
43.095,-0.12,24.59,9.81
43.599,-0.24,24.59,9.77
44.104,-0.39,24.63,9.85
44.609,-0.32,24.63,9.72
45.114,-0.29,24.64,9.73
45.619,-0.57,24.66,9.88
46.124,-0.79,24.68,9.82
46.629,-0.86,24.69,9.83
47.134,-0.78,24.67,9.98
47.639,-0.53,24.62,9.7
48.144,-0.45,24.61,9.6
48.649,-0.54,24.62,9.79
49.154,-0.48,24.63,9.71
49.659,-0.12,24.6,9.79
50.164,-0.19,24.58,9.73
50.671,-0.06,24.58,9.85
51.174,-0.2,24.62,9.92
51.679,-0.3,24.63,9.78
52.184,-0.35,24.64,9.88
52.689,-0.21,24.61,9.7
53.195,-0.25,24.64,9.9
53.699,-0.27,24.62,9.8
54.205,0.06,24.58,9.72
54.709,0.14,24.58,9.89
55.214,0.2,24.57,9.86
55.719,0.18,24.58,9.71
56.224,0.12,24.6,9.65
56.729,0.05,24.61,9.86
57.229,-0.01,24.62,9.78
57.739,-0.09,24.63,9.7
58.239,-0.09,24.63,9.83
58.749,-0.1,24.63,9.95
59.249,-0.54,24.69,9.69
59.759,-0.24,24.64,9.73
60.264,-0.33,24.63,9.79
60.771,-0.41,24.64,9.81
61.275,-0.24,24.61,9.96
61.779,-0.34,24.63,9.81
62.286,-0.2,24.61,9.82
62.791,-0.36,24.63,9.75
63.295,-0.27,24.63,9.84
63.799,-0.47,24.64,9.83
64.304,-0.48,24.65,9.81
64.809,-0.52,24.64,9.83
65.314,-0.53,24.65,9.87
65.819,-0.54,24.63,9.79
66.324,-0.7,24.66,9.86
66.83,-0.41,24.63,9.68
67.334,-0.45,24.62,9.94
67.839,-0.33,24.62,9.87
68.354,-0.49,24.64,9.75
68.854,-0.51,24.63,9.72
69.364,-0.69,24.66,9.81
69.864,-0.76,24.67,9.96
70.374,-0.83,24.67,9.85
70.874,-0.75,24.66,9.93
71.374,-0.91,24.66,9.83
71.879,-1.36,24.73,9.85
72.384,-1.59,24.75,9.83
72.889,-1.41,24.72,9.75
73.395,-1.76,24.74,9.8
73.899,-1.54,24.69,9.93
74.404,-1.33,24.65,9.77
74.909,-1.13,24.64,9.72
75.414,-1.25,24.65,9.73
75.919,-0.95,24.61,9.79
76.424,-1.08,24.63,9.86
