t_s,alt_ft_rel,vel,acc
1017.076,4.36,inf,9.86
1017.576,4.61,inf,9.87
1018.086,4.5,inf,9.91
1018.59,4.57,inf,9.99
1019.09,4.5,inf,9.78
1019.59,4.7,inf,9.9
1020.107,4.49,inf,9.87
1020.611,4.7,inf,9.86
1021.116,4.48,inf,9.89
1021.616,4.39,inf,9.88
1022.126,4.48,inf,9.88
1022.631,4.56,inf,9.97
1023.136,4.48,inf,9.84
1023.64,4.68,inf,9.84
1024.14,4.57,inf,9.87
1024.651,4.64,inf,9.84
1025.157,4.55,inf,9.82
1025.663,4.7,inf,9.94
1026.168,4.96,inf,9.98
1026.672,4.33,inf,9.9
1027.177,4.57,inf,9.89
1027.682,4.29,inf,9.85
1028.187,4.25,inf,9.83
1028.693,4.21,inf,9.92
1029.197,4.21,inf,9.81
1029.703,2.55,inf,9.87
1030.203,2.65,inf,9.9
1030.713,3.16,inf,9.99
1031.217,3.63,inf,9.85
1031.722,3.6,inf,9.85
1032.227,3.83,inf,9.85
1032.732,4.1,inf,9.92
1033.237,4.2,inf,9.93
1033.742,4.28,inf,9.8
1034.248,4.22,inf,9.85
1034.753,4.2,inf,9.88
1035.258,4.19,inf,9.83
1035.776,4.23,inf,9.8
1036.276,4.28,inf,9.92
1036.777,4.33,inf,9.86
1037.282,4.31,inf,9.84
1037.788,4.19,inf,9.87
1038.293,4.14,inf,9.91
1038.797,4.07,inf,9.79
1039.303,4.12,inf,9.88
1039.808,4.18,inf,9.93
1040.313,4.11,inf,9.88
1040.817,4.12,inf,9.89
1041.323,4.12,inf,9.9
1041.828,4.1,inf,9.93
1042.333,4.0,inf,9.96
