t_s,alt_ft_rel,vel,acc
407.211,0.57,0.04,9.91
7.429,-0.3,0.0,9.82
7.929,-0.35,42.2,9.72
8.429,-0.3,85.08,9.78
8.929,-0.35,103.79,9.77
10.429,-0.22,109.95,9.79
10.929,-0.37,109.49,9.84
11.429,-0.31,109.11,9.85
11.929,-0.1,108.83,9.83
12.429,-0.15,108.66,9.83
12.929,-0.06,108.55,9.71
13.429,0.13,108.46,9.73
13.929,0.02,108.43,9.91
14.429,0.22,108.39,9.85
14.93,0.19,108.36,9.91
15.435,0.2,108.35,9.89
16.445,0.15,108.36,9.72
17.455,0.1,108.37,9.83
17.96,0.08,108.37,9.87
18.466,0.06,108.38,9.86
18.97,0.05,108.38,9.8
19.475,0.11,108.37,9.84
19.98,-0.05,108.39,9.83
20.99,-0.08,108.4,9.71
21.495,0.06,108.38,9.87
22.0,0.22,108.37,9.83
22.505,0.24,108.35,9.82
23.01,0.23,108.34,9.83
23.515,0.29,108.33,9.85
24.02,0.23,108.34,9.86
24.525,0.23,108.34,9.86
25.03,0.12,108.36,9.8
25.535,-0.02,108.39,9.79
26.04,0.03,108.38,9.7
26.546,-0.04,108.39,9.96
27.05,0.02,108.39,9.72
27.555,0.06,108.38,9.94
28.06,0.13,108.37,9.69
28.565,0.02,108.38,9.94
29.07,0.05,108.38,9.85
29.57,-0.04,108.38,9.86
