t_s,alt_ft_rel,vel,acc
918.545,4.1,inf,10.03
919.055,4.2,inf,9.69
919.56,4.32,inf,10.17
920.066,4.36,inf,10.06
920.566,4.72,inf,9.79
921.08,4.93,inf,9.3
921.585,5.11,inf,9.23
922.085,5.69,inf,10.57
922.595,6.29,inf,10.3
923.103,6.92,inf,8.05
923.608,7.16,inf,8.99
924.113,7.21,inf,10.17
924.619,7.34,inf,9.7
925.125,7.25,inf,8.0
925.625,6.59,inf,9.18
926.135,5.46,inf,10.43
926.635,5.03,inf,10.67
927.15,4.68,inf,10.92
927.656,4.38,inf,9.97
928.16,4.29,inf,10.02
928.665,4.22,inf,9.87
929.165,4.21,inf,9.91
929.675,4.2,inf,9.8
930.18,4.09,inf,12.59
930.685,4.06,inf,9.93
931.185,4.1,inf,9.91
931.696,4.05,inf,9.96
