t_s,alt_ft_rel,lat,lon,acc
150.624,-3.78,39.0002775,-76.1051044,9.71
151.129,-3.8,39.0002775,-76.1051045,9.88
151.634,-3.81,39.0002772,-76.1051046,9.8
152.134,-3.81,39.000277,-76.1051048,9.83
152.644,-3.91,39.0002774,-76.1051052,9.75
153.144,-3.89,39.0002779,-76.1051057,9.85
153.654,-3.86,39.000279,-76.1051064,9.79
154.16,-3.83,39.0002797,-76.105107,9.72
154.664,-3.84,39.0002801,-76.1051074,9.83
155.17,-3.95,39.0002807,-76.1051078,9.82
155.675,-3.96,39.0002806,-76.1051079,9.62
156.18,-3.95,39.0002812,-76.1051082,9.87
156.685,-3.93,39.0002816,-76.1051086,9.82
157.189,-3.97,39.0002821,-76.1051092,9.83
157.694,-4.02,39.0002825,-76.1051095,9.67
158.2,-4.04,39.0002825,-76.1051097,9.76
158.705,-4.07,39.0002822,-76.1051096,9.84
159.209,-4.0,39.0002823,-76.1051098,9.7
159.714,-4.09,39.0002822,-76.10511,9.72
160.219,-4.14,39.0002819,-76.1051101,9.71
160.724,-4.14,39.0002815,-76.1051101,9.83
161.229,-4.12,39.0002808,-76.1051098,9.84
161.734,-4.07,39.0002801,-76.1051096,9.81
162.249,-4.09,39.0002793,-76.1051093,9.73
162.749,-4.18,39.0002786,-76.1051089,9.79
163.259,-4.26,39.0002781,-76.1051087,9.79
163.759,-4.32,39.000277,-76.1051083,10.1
164.259,-4.39,39.0002762,-76.105108,9.77
164.764,-4.31,39.0002751,-76.1051076,9.8
165.269,-4.32,39.0002738,-76.1051071,9.82
165.774,-4.44,39.0002729,-76.1051068,9.99
166.279,-4.46,39.0002717,-76.1051065,9.78
166.784,-4.45,39.0002705,-76.1051064,9.73
167.289,-4.41,39.0002695,-76.1051058,9.8
167.794,-4.45,39.0002677,-76.1051056,9.79
168.299,-4.46,39.0002658,-76.1051052,9.83
168.804,-4.42,39.0002641,-76.1051046,9.79
169.309,-4.45,39.0002625,-76.1051041,9.69
169.814,-4.34,39.000261,-76.1051035,9.77
170.319,-4.5,39.0002595,-76.1051029,9.78
170.824,-4.49,39.0002587,-76.1051024,9.83
171.329,-4.54,39.0002578,-76.1051016,9.8
171.834,-4.57,39.0002568,-76.1051011,9.78
