t_s,alt_ft_rel,lat,lon,acc
395.177,-0.35,39.0002443,-76.1050755,9.67
395.677,-0.33,39.0002444,-76.1050753,9.78
396.182,-0.27,39.0002445,-76.1050751,9.67
396.682,-0.33,39.0002447,-76.1050751,9.85
397.187,-0.23,39.0002448,-76.1050749,9.86
397.687,-0.44,39.0002448,-76.1050749,9.76
398.194,-0.07,39.0002448,-76.1050748,9.8
398.694,-0.06,39.0002447,-76.1050748,9.78
399.282,-0.11,39.0002445,-76.1050747,9.85
399.785,-0.03,39.0002445,-76.1050746,9.81
400.373,0.03,39.0002442,-76.1050746,9.82
400.885,0.24,39.0002441,-76.1050745,9.83
