State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),DPS368 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,Flight Computer Voltage - Raw Voltage (V),Flight Computer Voltage - Real Voltage (V)
4.831,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
4.882,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
4.933,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.019,2.548
4.984,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.023,2.556
5.035,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.032,2.581
5.086,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.042,2.605
5.137,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.068,2.669
5.188,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.074,2.685
5.239,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.074,2.685
5.290,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.074,2.685
5.341,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
5.392,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
5.443,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.061,2.653
5.494,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.032,2.581
5.545,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.019,2.548
5.596,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.013,2.532
5.647,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.006,2.516
5.698,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
5.749,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.019,2.548
5.800,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.019,2.548
5.851,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.029,2.573
5.902,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.035,2.589
5.953,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.035,2.589
6.004,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.039,2.597
6.055,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.026,2.565
