State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,DPS310 - Pres (hPa),DPS310 - Temp (C),DPS310 - Alt ASL (m),DPS310 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,Flight Computer Voltage - Raw Voltage (V),Flight Computer Voltage - Real Voltage (V)
7.629,0,0,9.648,-188.290,214.338,2.529,-49.362,56.190,0.332,-6.470,7.365,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.685,38.726,46.406,0.000,-9.797,-0.481,0.043,-0.045,0.049,-0.058,-3145.000,2000.000,2616.000,0.647,0.282,-0.663,0.249,3.297,8.242
7.870,0,0,9.331,-182.162,190.060,2.584,-50.953,57.922,0.227,-6.602,7.187,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.705,38.734,46.238,-0.084,-9.754,-0.359,0.129,-0.053,0.107,-0.115,-3208.000,2038.000,2644.000,0.647,0.288,-0.661,0.250,3.255,8.137
8.071,0,0,8.239,-160.886,146.504,2.472,-48.383,52.328,0.431,-6.504,7.254,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.660,38.733,46.619,0.198,-9.740,-0.488,0.057,-0.006,-0.083,-0.104,-3213.000,1997.000,2601.000,0.642,0.289,-0.665,0.250,3.226,8.065
8.272,0,0,6.829,-133.338,104.450,2.154,-41.682,41.764,0.465,-6.624,7.230,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.687,38.737,46.390,-0.023,-9.812,-0.287,0.108,0.051,-0.062,-0.213,-3018.000,2013.000,2511.000,0.640,0.286,-0.669,0.246,3.223,8.056
8.473,0,0,5.384,-105.074,71.079,1.645,-31.771,29.392,0.325,-6.458,7.357,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.680,38.744,46.449,0.028,-9.790,-0.287,0.022,0.107,0.038,0.021,-2997.000,1964.000,2612.000,0.650,0.273,-0.666,0.245,3.281,8.202
8.674,0,0,4.067,-79.323,46.725,1.061,-20.549,17.995,0.269,-6.153,7.539,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.680,38.740,46.452,0.027,-9.718,-0.546,0.136,0.045,0.036,-0.062,-3098.000,2043.000,2600.000,0.649,0.274,-0.668,0.238,3.300,8.250
8.875,0,0,2.950,-57.522,29.709,0.511,-9.948,9.016,0.294,-6.287,7.443,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.687,38.745,46.392,-0.029,-9.740,-0.381,0.050,0.002,-0.038,0.051,-3030.000,1994.000,2648.000,0.650,0.269,-0.668,0.243,3.219,8.048
9.076,0,0,2.051,-40.011,18.192,0.045,-1.136,2.905,0.239,-6.081,7.611,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.698,38.754,46.303,-0.103,-9.733,-0.481,-0.029,0.085,0.026,0.130,-3238.000,2047.000,2677.000,0.657,0.261,-0.666,0.239,3.232,8.081
9.277,0,0,1.358,-26.534,10.679,-0.291,5.336,-0.589,0.280,-5.908,7.816,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.696,38.758,46.316,-0.080,-9.790,-0.467,0.065,0.143,-0.017,-0.098,-3086.000,2000.000,2643.000,0.656,0.257,-0.673,0.225,3.290,8.226
9.478,0,0,0.844,-16.557,5.987,-0.524,9.461,-2.058,0.176,-5.782,7.936,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1007.687,38.760,46.395,-0.001,-9.805,-0.539,0.101,0.053,0.017,0.138,-3208.000,2022.000,2612.000,0.659,0.249,-0.673,0.225,3.265,8.161
